artist_name,instagram_url,instagram_handle,tiktok_url,tiktok_handle,youtube_url,youtube_channel_id,soundcloud_url,soundcloud_handle,twitter_url,twitter_handle,facebook_url,website_url
Jeff Germita,,,,,,,,,,,,
Drunken Masters,https://www.instagram.com/drunken_masters/,drunken_masters,,,,,https://soundcloud.com/drunkenmasters,drunkenmasters,https://twitter.com/drunken_masters,drunken_masters,https://www.facebook.com/drunkenmasters,http://drunken-masters.com/
itssvd,,,,,,,,,,,,
Caiiro,,,,,,,,,,,,
Veronica Bravo,https://www.instagram.com/bravoveronicabravo/,bravoveronicabravo,,,https://music.youtube.com/channel/UC6YUDO2_LzkFOUN-higrcuA,UC6YUDO2_LzkFOUN-higrcuA,https://soundcloud.com/veronicabravo,veronicabravo,https://twitter.com/OfficialVBravo,OfficialVBravo,https://www.facebook.com/bravoveronicabravo,
Kx5,,,,,,,,,,,,
T.O.K,,,,,,,,,https://twitter.com/toktoktok,toktoktok,https://www.facebook.com/toktoktokmusic,http://www.toktoktok.de/
Adnan Gufrona,,,,,,,,,,,,
HMWME,,,,,,,,,,,,
The Midnight,,,,,,,,,,,,
RYUCHI,,,,,,,,,,,,
Angerfist,,,,,https://www.youtube.com/channel/UCdluEI4RUCXmIgWyGmt5y9g,UCdluEI4RUCXmIgWyGmt5y9g,https://soundcloud.com/angerfistmusic,angerfistmusic,https://twitter.com/dj_angerfist,dj_angerfist,https://www.facebook.com/angerfistmusic,http://angerfist.nl/
Luna Orbit,,,,,,,,,,,,
Pollini,,,,,,,,,,,,
Paul Keen,https://www.instagram.com/paul_keen_official/,paul_keen_official,,,,,,,,,,
Lumidee,,,,,,,,,,,,
Christian Löffler,https://www.instagram.com/christianloeffler/,christianloeffler,,,https://www.youtube.com/channel/UCdGOUsLqm5_ds01HX9xMRHg,UCdGOUsLqm5_ds01HX9xMRHg,https://soundcloud.com/christianloeffler/,christianloeffler,https://twitter.com/chris_loeffler,chris_loeffler,https://www.facebook.com/christianloefflerofficial,https://www.christian-loeffler.net/
Akhmedov,,,,,,,,,,,,
xaviersobased,,,,,,,,,,,,
