artist_name,instagram_url,instagram_handle,tiktok_url,tiktok_handle,youtube_url,youtube_channel_id,soundcloud_url,soundcloud_handle,twitter_url,twitter_handle,facebook_url,website_url
charlie moncler,,,,,,,,,,,,
SFB,,,,,,,https://soundcloud.com/strictly-family-business,strictly-family-business,https://twitter.com/strictlyfamb,strictlyfamb,https://www.facebook.com/StrictlyFamilyBusiness,http://strictlyfamilybusiness.com/
Skilla Baby,,,,,,,,,,,,
ARDN,,,,,,,,,,,,
FourNine,,,,,,,,,,,,
Mike Dimes,,,,,,,,,,,,
Wean,,,,,https://www.youtube.com/channel/UCwYl-SPMWZ8C4X2ZHTjla2A,UCwYl-SPMWZ8C4X2ZHTjla2A,,,,,https://www.facebook.com/weanle.official,
Drunken Masters,https://www.instagram.com/drunken_masters/,drunken_masters,,,,,https://soundcloud.com/drunkenmasters,drunkenmasters,https://twitter.com/drunken_masters,drunken_masters,https://www.facebook.com/drunkenmasters,http://drunken-masters.com/
Big Baby Tape,https://www.instagram.com/benzogang_tape/,benzogang_tape,,,,,https://soundcloud.com/bigbabytape,bigbabytape,https://twitter.com/bigbabytape,bigbabytape,,
Marwan Pablo,,,,,https://www.youtube.com/channel/UCeWJflQjkOS-kVxGcYRW-Bw,UCeWJflQjkOS-kVxGcYRW-Bw,,,,,,
itssvd,https://www.instagram.com/itssvdmusic/,itssvdmusic,,,,,,,,,,
Khoi Vu,,,,,,,,,,,,
Halacg,https://www.instagram.com/halacg_official/,halacg_official,,,https://www.youtube.com/channel/UCFbfFv3bjWctmO2IQoHLiHg,UCFbfFv3bjWctmO2IQoHLiHg,,,https://twitter.com/Hala_CG,Hala_CG,,
Charlie Charles,https://www.instagram.com/Charliecharles/,Charliecharles,,,https://www.youtube.com/channel/UCFDsm6bilQHtD0Q-JGSu0cg,UCFDsm6bilQHtD0Q-JGSu0cg,,,https://twitter.com/charliedope,charliedope,https://www.facebook.com/charliedopecharles,https://www.charliecharles.com/
Kris Floyd,,,,,,,https://soundcloud.com/krisfloyd,krisfloyd,,,,
nobigdyl.,,,,,,,,,,,,
RYUCHI,,,,,,,,,,,,
Never Broke Again,https://www.instagram.com/nba_youngboy/,nba_youngboy,,,https://www.youtube.com/channel/UClW4jraMKz6Qj69lJf-tODA,UClW4jraMKz6Qj69lJf-tODA,https://soundcloud.com/nba-youngboy,nba-youngboy,https://twitter.com/ggyoungboy,ggyoungboy,,http://youngboynba.com/
Pejota,,,,,,,,,,,,
Sagitario,,,,,,,,,,,,
MC Magic,,,,,https://www.youtube.com/user/magic602,magic602,,,https://twitter.com/TheRealMCMAGIC,TheRealMCMAGIC,https://www.facebook.com/TheRealMCMagic,
Akhmedov,,,,,,,,,,,,
xaviersobased,https://www.instagram.com/xaviersobased/,xaviersobased,https://www.tiktok.com/@xaviersobased,xaviersobased,https://www.youtube.com/@xavier1c,@xavier1c,https://soundcloud.com/motorola2k7,motorola2k7,https://twitter.com/xaviersobased,xaviersobased,,
Under Side 821,,,,,,,,,,,,
Karun,,,,,,,,,,,,
yovngmanota,,,,,,,,,,,,
Deichkind,https://www.instagram.com/deichkind_official/,deichkind_official,https://www.tiktok.com/@deichkind,deichkind,https://www.youtube.com/user/deichkindTV,deichkindTV,https://soundcloud.com/deichkind-1,deichkind-1,https://twitter.com/kloeterklikke,kloeterklikke,https://www.facebook.com/Deichkind,https://www.deichkind.de/
DJ SV,,,,,,,,,,,,
2Scratch,,,,,,,,,,,,
Morris,https://www.instagram.com/trevormorriscomposer/,trevormorriscomposer,,,https://www.youtube.com/channel/UCS3-GV2KR8LsDjsDjy_C22Q,UCS3-GV2KR8LsDjsDjy_C22Q,,,https://twitter.com/MorrisTrevor,MorrisTrevor,https://www.facebook.com/pages/Trevor-Morris/123555781066049,https://www.trevormorris.com/
Terror Reid,https://www.instagram.com/terrorreid/,terrorreid,,,,,,,https://twitter.com/terrorreid,terrorreid,https://www.facebook.com/terrorreid,
Jonatas Nascimento,,,,,,,,,,,,
B.I,,,,,,,,,,,,http://www.shubidua.dk/
Timaya,https://www.instagram.com/timayatimaya/,timayatimaya,,,https://www.youtube.com/officialtimaya,officialtimaya,,,https://twitter.com/timayatimaya,timayatimaya,https://www.facebook.com/theofficialtimaya,
EME Lab,,,,,,,,,,,,
DeeBaby,,,,,,,,,,,,
J-Ax,,,,,https://www.youtube.com/channel/UCpeQe0391XqSnrLVxldlnug,UCpeQe0391XqSnrLVxldlnug,,,https://twitter.com/jaxofficial,jaxofficial,https://www.facebook.com/jaxofficial,http://www.j-ax.it/
Haviah Mighty,,,,,,,,,https://twitter.com/haviahmighty,haviahmighty,,
Dj Alle da coro,,,,,,,,,,,,
Junggigo,,,,,,,,,,,,
DENȲ,,,,,,,,,,,,http://www.denharrow.it/
Farazi,,,,,,,,,,,,
Harry Fraud,,,,,https://www.youtube.com/user/HFraud,HFraud,https://soundcloud.com/harryfraud,harryfraud,https://twitter.com/harryfraud,harryfraud,https://www.facebook.com/lamusicadeharryfraud,http://www.harryfraud.com/
Burhan G,,,,,,,,,,,,http://www.burhang.com/
Suprême NTM,,,,,,,,,,,,
Cristian D,,,,,,,,,,,,
Calin,https://www.instagram.com/calinpan/,calinpan,,,https://www.youtube.com/channel/UCr42x6sv7UqR7xP0zmOQNzg,UCr42x6sv7UqR7xP0zmOQNzg,https://soundcloud.com/calin-music,calin-music,https://twitter.com/cojecaline,cojecaline,https://www.facebook.com/calinpan,
Josh A,https://www.instagram.com/officialjosha/,officialjosha,,,,,,,https://twitter.com/OfficialJoshA,OfficialJoshA,,
Trannos,,,,,,,,,,,,
Jay Jones,,,,,,,,,,,,
DON XHONI,,,,,,,,,,,,
Tjuvjakt,,,,,,,,,,,,
Kazior,,,,,,,,,,,,
Guaco,,,,,,,,,,,,
Stereo Mc's,,,,,https://www.youtube.com/user/stereomcsofficial,stereomcsofficial,https://soundcloud.com/robstereo,robstereo,https://twitter.com/StereoMcs_Rob_b,StereoMcs_Rob_b,https://www.facebook.com/stereomcs,http://www.stereomcs.com/
Sada Baby,https://www.instagram.com/_.sadababy/,_.sadababy,,,https://www.youtube.com/channel/UCVA3P-2b45yk9Mtf_2LvmHA,UCVA3P-2b45yk9Mtf_2LvmHA,https://soundcloud.com/sadababy-music,sadababy-music,https://twitter.com/SkubaBaby,SkubaBaby,,
Galee Galee,,,,,,,,,,,,
Shop Boyz,,,,,,,,,,,,
9th Wonder,,,,,,,,,,,,http://www.9thwonder.com/
Matt Corman,,,,,,,,,,,,
THEY.,,,,,,,,,,,,
DonGURALesko,,,,,,,,,,,https://www.facebook.com/djdziadzior,http://donguralesko.pl/
Shartnuss,,,,,,,,,,,,
Goson,,,,,https://music.youtube.com/channel/UC9aCnEoZyTpCYrphM_Ce81g,UC9aCnEoZyTpCYrphM_Ce81g,https://soundcloud.com/gosonmusic,gosonmusic,,,,
Fxrce,,,,,,,,,,,,
Manj Musik,,,,,,,,,https://twitter.com/MANJmusik,MANJmusik,,
DJ JL3 DA ZN,,,,,,,,,,,,
Dyland & Lenny,,,,,,,,,,,,
Gow Tribe,https://www.instagram.com/gow_muzik/,gow_muzik,,,,,,,,,,
