artist_name,soundcharts_uuid,spotify_id,instagram_url,instagram_handle,tiktok_url,tiktok_handle,youtube_url,youtube_channel_id,soundcloud_url,soundcloud_handle,twitter_url,twitter_handle,facebook_url,website_url,lookup_status,error_message
Roberto Cacciapaglia,11e81bc1-d65d-6b30-82f4-a0369fe50396,359LKbZWLk6u3IpyNE2CQG,,,,,,,https://soundcloud.com/robertocacciapaglia,robertocacciapaglia,,,,,"spotify,soundcloud",
Isaac Chambers,11e81bbd-89e6-43b6-9d46-a0369fe50396,3Z8221k9q4oLkXUEuizRJP,,,,,,,https://soundcloud.com/isaac-chambers-music,isaac-chambers-music,,,,,"spotify,soundcloud",
Animal Collective,11e81bbb-1af4-e298-b0a4-a0369fe50396,4kwxTgCKMipBKhSnEstNKj,,,,,,,https://soundcloud.com/anmlcollective,anmlcollective,,,,,"spotify,soundcloud",
Angelo Garnier,018d7d0a-fc7f-4576-8a71-feb1edbf1a48,7qvvsAZAERVhX0qJ1kq6In,,,,,,,https://soundcloud.com/angelogarnier-music,angelogarnier-music,,,,,"spotify,soundcloud",
ILSE,259a97d4-887f-432e-b527-b4a5301bc5b3,4y3uZ6oBt6AD3BjFZAboRI,,,,,,,https://soundcloud.com/ilse-847065938,ilse-847065938,,,,,"spotify,soundcloud",
Veela,11e81bbe-c315-372c-8189-a0369fe50396,3CiuuHKIxxJPoNRvF94GtR,,,,,,,https://soundcloud.com/veelabeats,veelabeats,,,,,"spotify,soundcloud",
KingCrowney,3bc80a9d-d5ce-4111-a9e0-f021005ae80d,3IcwVSp1QaAwTkcmJMt1CE,,,,,,,https://soundcloud.com/kingcrowney,kingcrowney,,,,,"spotify,soundcloud",
Butch,11e81bcb-7b45-43c6-9ca6-a0369fe50396,5kLzaeSHrmS7okc5XNE6lv,,,,,,,https://soundcloud.com/superbutch,superbutch,,,,,"spotify,soundcloud",
RASA,0193a812-c646-11e8-ac04-549f35141000,4md29VFrdmXz1YYmH4u74u,,,,,,,https://soundcloud.com/rasa-official,rasa-official,,,,,"spotify,soundcloud",
Julius Packiam (Tiger Theme),67544510-e9ff-4492-aee8-ec57388d1d90,25B5Vk9Jqr42w35MQUyv3D,,,,,,,,,,,,,spotify,
Monaldin,e96d4223-6ab2-413b-91de-b03da6f6b285,1Ngs1vi6M75StypXQdB6su,,,,,,,https://soundcloud.com/monaldin,monaldin,,,,,"spotify,soundcloud",
SCANDAL,11e81bd1-ce39-bc82-9888-a0369fe50396,7hTZwqQILVH4bAbN67CeEz,,,,,,,https://soundcloud.com/enterscandal,enterscandal,,,,,"spotify,soundcloud",
Winson,74c38123-9035-48d2-b190-1fb4604216d1,2z9op9COiMU6QquVfY8HTN,,,,,,,https://soundcloud.com/winson-ngoh-898890289,winson-ngoh-898890289,,,,,"spotify,soundcloud",
Effin,11e83fee-f557-e1f4-9e01-a0369fe50396,6l0u1oM2imxw0isrGcXpmH,,,,,,,https://soundcloud.com/effin,effin,,,,,"spotify,soundcloud",
Harmonious Nature,879fb6cc-a1ec-44ea-a316-e61ead29123b,334v3jkZ2T1J40I0QGT3rZ,,,,,,,https://soundcloud.com/harmoniousnature,harmoniousnature,,,,,"spotify,soundcloud",
RAP IN CENA,0148f5da-8c5a-4393-81da-623055358357,7kdYYoCudHnWFDFJhYZTJ2,,,,,,,https://soundcloud.com/rap-in-cena,rap-in-cena,,,,,"spotify,soundcloud",
Hugleiösla,cb6b51bf-ff7b-40ab-bac9-38a5ffb0e3c4,0ckEoQesFtWdmchnO9RmIg,,,,,,,,,,,,,spotify,
Alewya,cffbad50-f5b7-4428-8623-f687affc4830,0wcjJjpvnHb5vK4iwKfxPm,,,,,,,https://soundcloud.com/alewya,alewya,,,,,"spotify,soundcloud",
Kwestia 07,11e83fee-85df-fdca-aa9a-aa1c026db3d8,18Nf0Zf2Qu2tGRAfg8aqLI,,,,,,,https://soundcloud.com/kwestia07,kwestia07,,,,,"spotify,soundcloud",
Mr. Black & Blue,11e81bc2-ef35-2f52-999c-a0369fe50396,1xpKlFHJoTi048rnak5opF,,,,,,,https://soundcloud.com/mrblackmrblue,mrblackmrblue,,,,,"spotify,soundcloud",
Moontonic,ddcf849c-79e1-440c-8935-69e2771fcd63,2aQ11bG4kZ5Tf45FpsvrwO,,,,,,,https://soundcloud.com/moontonic,moontonic,,,,,"spotify,soundcloud",
Mark 'Oh,11e81bcc-85a2-0a42-83a0-a0369fe50396,4PTTDM08OI9jnPTOZ7QRn1,,,,,,,https://soundcloud.com/mark-oh-official,mark-oh-official,,,,,"spotify,soundcloud",
Lizwi,11e8ab29-1788-0a4c-9cd1-525400009efb,70PnxFjOBPqfF4CZSt3A3X,,,,,,,https://soundcloud.com/lizwi-mbatha,lizwi-mbatha,,,,,"spotify,soundcloud",
Offer Nissim,11e81bc8-0e8d-5e06-ad3b-a0369fe50396,2U5N2KMBT6aFPrQMygMkhj,,,,,,,https://soundcloud.com/offer-nissim,offer-nissim,,,,,"spotify,soundcloud",
Junge Junge,11e81bbb-8c2a-5c4a-8395-a0369fe50396,721T2PETMLaAkijbYu05VD,,,,,,,https://soundcloud.com/junge-junge,junge-junge,,,,,"spotify,soundcloud",
Supafly,c2ad975e-076c-4043-aa50-9ff1b5ba4c10,7k4KUVFc27j05vXrcJ58ih,,,,,,,https://soundcloud.com/supafly-scmusic,supafly-scmusic,,,,,"spotify,soundcloud",
makers mask,b4901cb8-7cbc-4891-91e5-ef3d9a48bf73,2QtcIrpLf2jtdMDs8gF3Q9,,,,,,,https://soundcloud.com/makersmask,makersmask,,,,,"spotify,soundcloud",
