artist_name,soundcharts_uuid,spotify_id,instagram_url,instagram_handle,tiktok_url,tiktok_handle,youtube_url,youtube_channel_id,soundcloud_url,soundcloud_handle,twitter_url,twitter_handle,facebook_url,website_url,lookup_status,error_message
VISIONARE,f3df327a-b61f-11e9-9707-549f35141000,1crOVABMVKHRzLkHZZ1zUD,,,,,,,,,,,,,spotify,
Ekali,11e81bbf-ebb9-b1ac-946b-a0369fe50396,0Y0QSi6lz1bPik5Ffjr8sd,,,,,,,,,,,,,spotify,
Sheath,5128cdbe-d0b2-11e8-8bfb-549f35141000,0IlAtf4VeHUzQYRM8GMWXw,,,,,,,,,,,,,spotify,
Mascolo,c7a0aede-e46d-11e8-9d6f-549f35161576,1hssO6mIBREUt4w6riUeBp,,,,,,,,,,,,,spotify,
Gt do Mira,13a7fc4c-bca3-4bd4-af96-e017f347660a,143i6fkRcfUO1eJRAcY3yZ,,,,,,,,,,,,,spotify,
HVOB,11e81bcb-768b-b770-afb1-a0369fe50396,6RAx8RRxoHeJIqD2d0EjOa,,,,,,,,,,,,,spotify,
Ishimaru,11e83fe1-8711-3c48-9ea4-a0369fe50396,3Uv4JaQxrshHLQguFHfz2n,,,,,,,,,,,,,spotify,
Yvvan Back,11e81bc9-f1a2-f40c-b089-a0369fe50396,68fI3XKiTlRMJBYuxKJFU3,,,,,,,,,,,,,spotify,
Conducta,11e81bbb-d1a4-d5f2-82ed-a0369fe50396,1lMcg4Y7nW5hHgIVsN9Shn,,,,,,,,,,,,,spotify,
Deeper Purpose,11e83fec-9a04-6946-b1ff-aa1c026db3d8,10Bo1ofGMWr6hFD7OM7W7r,,,,,,,,,,,,,spotify,
Basixx,b7626d66-e95c-11e8-8a08-549f35141000,3yoJOUgWeJEC81UoZhYIdd,,,,,,,,,,,,,spotify,
Rafael Cerato,11e81bbf-07e1-a53e-8d0c-a0369fe50396,3NUcxMYt10f6cx567crDk2,,,,,,,,,,,,,spotify,
Ebo Taylor,11e81bc1-f8d2-2778-a1ac-a0369fe50396,2gR0iQTVBPHDKiNn1Kq8HI,,,,,,,,,,,,,spotify,
Moryla,c1b23db0-f7e2-11e9-9a9c-e4434b16cb78,679Cu2GnI3RBdkgaPxAsY0,,,,,,,,,,,,,spotify,
212music,e271b0f1-3196-409f-8123-46377222b36e,64fS1PIu8pLViR5EZzvNLq,,,,,,,,,,,,,spotify,
Ross From Friends,11e81bc0-1619-2bda-8b4f-a0369fe50396,1Ma3pJzPIrAyYPNRkp3SUF,,,,,,,,,,,,,spotify,
BCee,11e81bbe-e165-9c1c-9b8c-a0369fe50396,3wdwWQXJbqpJJbMdp7KfEJ,,,,,,,,,,,,,spotify,
Mr Twin Sister,11e81bc2-a2b2-0a42-bcd3-a0369fe50396,5ltJZgIW3OkY5WvuzX5MYz,,,,,,,,,,,,,spotify,
Mustafa Yılmaz,db80f4d6-c64f-11e8-be1f-549f35161576,604l9MZaofCeBl2Wex1G0j,,,,,,,,,,,,,spotify,
marc indigo,fb5b810a-c0e4-11e9-bc14-549f35161576,5aNIaifrtVMQ2D9xNAaHbo,,,,,,,,,,,,,spotify,
Saxify,30bb6e9f-d085-480b-8a9f-20d502e368df,2oY6ti6YF4FHbudjR16LFf,,,,,,,,,,,,,spotify,
Dorian Electra,11e81bc1-047f-b046-9011-a0369fe50396,202HZzqKvPsMHcbwnDZx7u,,,,,,,,,,,,,spotify,
Danny Byrd,11e81bd2-67cf-076c-a295-a0369fe50396,7iczgrgAFILjQVGzLsUzbG,,,,,,,,,,,,,spotify,
David Mackay,64ac9158-c32a-11e8-9340-525400009efb,2eiBRWD2o9Q99ehtKoL2qt,,,,,,,,,,,,,spotify,
The Orb,11e81bd1-7eb5-1e18-a1c4-a0369fe50396,5HAtRoEPUvGSA7ziTGB1cF,,,,,,,,,,,,,spotify,
Otis Hudson,4b29fd10-31b1-49d3-92d6-92594ecfcffa,71fs7ppN7qycfJgyvMKYd6,,,,,,,,,,,,,spotify,
Jay Pryor,11e83fe7-7d24-9a3a-a72d-a0369fe50396,1ZUpQr4VSnnP86WbaRRMpd,,,,,,,,,,,,,spotify,
Joe Kinni,11e81bd3-4b37-165c-8328-a0369fe50396,1fhYELM6eWtWrAGUIhz7Vk,,,,,,,,,,,,,spotify,
Axel Stephenson,11e81bd1-5f55-c7fc-a1ea-a0369fe50396,7wbnKaU2yOAKkBdXED432f,,,,,,,,,,,,,spotify,
