artist_name,soundcharts_uuid,spotify_id,instagram_url,instagram_handle,tiktok_url,tiktok_handle,youtube_url,youtube_channel_id,soundcloud_url,soundcloud_handle,twitter_url,twitter_handle,facebook_url,website_url,lookup_status,error_message
Soul Star,11e81bc3-eae7-d066-9fcb-a0369fe50396,3hOsGdLoINDweQrMm2tjZy,,,,,,,https://soundcloud.com/soulstartrax,soulstartrax,,,,,"spotify,soundcloud",
Yu Hayami,11e81bbd-48e5-0906-8281-a0369fe50396,1EgJAueSbwh56nECF6YQHX,,,,,,,https://soundcloud.com/yuhayami-music,yuhayami-music,,,,,"spotify,soundcloud",
Vanessa Daou,11e81bcb-6265-bade-b33b-a0369fe50396,0r13pf5aRSEWKl7m7qMXXT,,,,,,,https://soundcloud.com/vanessadaouofficial,vanessadaouofficial,,,,,"spotify,soundcloud",
Ghostpoet,11e81bbb-4c6c-45dc-a330-a0369fe50396,69lEbRQRe29JdyLrewNAvD,,,,,,,https://soundcloud.com/ghostpoet,ghostpoet,,,,,"spotify,soundcloud",
D-Lo,11e81bc3-c639-2346-8fd1-a0369fe50396,0kHp6OZT4pvcCbTMfQCOvE,,,,,,,https://soundcloud.com/mrnohoe,mrnohoe,,,,,"spotify,soundcloud",
Perpetuous Dreamer,11e81bba-d972-f9fe-9d5a-a0369fe50396,1J4lVvwCqmAwOJ5kqKamBy,,,,,,,https://soundcloud.com/perpetuous19dreamer,perpetuous19dreamer,,,,,"spotify,soundcloud",
Liz Kim Cương,3ace3700-18e3-11ea-838d-549f35161576,6pYrL6H11sEmjp5ZJytWmK,,,,,,,,,,,,,spotify,
LondonGround,11e81bca-501f-1ec0-bc17-a0369fe50396,1KrOwCpc0OZhhJIW3wWgl8,,,,,,,https://soundcloud.com/londonground,londonground,,,,,"spotify,soundcloud",
Lilly Bay,eceeb8fa-799c-49b9-aba5-a0e1609f07c7,638CAHfkNvK7AEpXSqWB31,,,,,,,https://soundcloud.com/lilly-bay-932040070,lilly-bay-932040070,,,,,"spotify,soundcloud",
Lah'Vee,3fd90856-acc8-4bfa-8fa5-840da7b359e9,295LSrr4bWUqjk5nO5BpeU,,,,,,,https://soundcloud.com/lahvee-sc,lahvee-sc,,,,,"spotify,soundcloud",
Andreíos,62ba7901-565b-4f1f-afcb-8f39f9dbd4db,1lJC5MbTUW5ld4yXzNB0H4,,,,,,,,,,,,,spotify,
ExQ,11e83fe3-8a41-2412-bc41-aa1c026db3d8,3nwR4VLMMXwZ6vC4ea5wFo,,,,,,,https://soundcloud.com/exqofficial,exqofficial,,,,,"spotify,soundcloud",
Hit the Lights,11e81bbf-886b-961a-91f4-a0369fe50396,5fyHpJg1xW8OZqPyzmQv2C,,,,,,,https://soundcloud.com/hitthelightsmusic,hitthelightsmusic,,,,,"spotify,soundcloud",
Oliver Gil,11e83fe1-8b1b-6b2e-8ad4-aa1c026db3d8,4JpKjf76ROhpjO3UfpjTXI,,,,,,,https://soundcloud.com/oliver-gil,oliver-gil,,,,,"spotify,soundcloud",
Dirty Radio,11e81bbf-afee-8b48-bad5-a0369fe50396,7bhcf6U7Lu1Ra9u0oWLM5x,,,,,,,https://soundcloud.com/dirtyradiomusic,dirtyradiomusic,,,,,"spotify,soundcloud",
Adeva,11e81bbd-2603-df8e-ab4d-a0369fe50396,3zSxZFUKZEYmEpHkwZKXzQ,,,,,,,https://soundcloud.com/adeva-official,adeva-official,,,,,"spotify,soundcloud",
Kyle Edwards,11e81bcb-72ea-2804-883a-a0369fe50396,5zvOGQ4uW2viBHMmkyl3C2,,,,,,,https://soundcloud.com/kyle-edwards-480557216,kyle-edwards-480557216,,,,,"spotify,soundcloud",
House Boulevard,11e81bc3-6b73-1688-95b6-a0369fe50396,5zfQVjWbKhDX0GRAGwl6tt,,,,,,,https://soundcloud.com/houseboulevard,houseboulevard,,,,,"spotify,soundcloud",
Forest Swords,11e81bd2-138a-6bf6-abbb-a0369fe50396,2VarlUiM6Lw0SA7BvwVPRP,,,,,,,https://soundcloud.com/forestswords,forestswords,,,,,"spotify,soundcloud",
Makalu,aa16f6fa-d712-4fb9-a0e8-6f980c0693df,37iyLYETxVTFwmHXjVwlcj,,,,,,,https://soundcloud.com/makalu-690868171,makalu-690868171,,,,,"spotify,soundcloud",
Gidayyat,49113484-b8e0-11e8-ab16-525400009efb,1NhYksZXFTq2Mnb3Q0bsEK,,,,,,,https://soundcloud.com/gidayyat-gidayyat,gidayyat-gidayyat,,,,,"spotify,soundcloud",
Majlo,ad9cc5eb-1ae3-4d5f-828b-4d6a822e7728,0B7w44uFvtmB84UJcJ4WeO,,,,,,,https://soundcloud.com/majlo-music,majlo-music,,,,,"spotify,soundcloud",
Fomadd,3a57a1c1-fa30-4f0b-8c66-28c7d1643372,7kQ5YQJSRaOyY6hH2DljAB,,,,,,,https://soundcloud.com/nomadd_nohome,nomadd_nohome,,,,,"spotify,soundcloud",
Schak,bdef1c95-b2bd-4c20-b77e-7f04d8bdba02,7gA8yMxRoBujfmpDLuLPvx,,,,,,,https://soundcloud.com/schak,schak,,,,,"spotify,soundcloud",
Airfox,a4273db2-5026-4851-8f4b-1c01bb592edb,78QvbFG3S3AxO9GX6Vk3tk,,,,,,,https://soundcloud.com/sulejman-ramazanov-1635878,sulejman-ramazanov-1635878,,,,,"spotify,soundcloud",
