artist_name,soundcharts_uuid,spotify_id,instagram_url,instagram_handle,tiktok_url,tiktok_handle,youtube_url,youtube_channel_id,soundcloud_url,soundcloud_handle,twitter_url,twitter_handle,facebook_url,website_url,lookup_status,error_message
Stock Wudeczka,326ccff4-404d-11ea-8bda-549f35161576,0ClgZqBaZrO0167WwBgK2g,,,,,,,,,,,,,spotify,
Passeggiate Al Chiaro,38b728c5-d0d2-4b3f-8fd4-77141610cad9,5HosxAwsGzGX5RzY3XfXPC,,,,,,,,,,,,,spotify,
Tivon,570fad29-2ae6-4e40-898a-3b16f25264d0,0cIZfc318itJduAQZBdK3u,,,,,,,,,,,,,spotify,
whogaux,11e83fea-52ad-a460-ad66-aa1c026db3d8,0BoF1DBhly2uEIhAYAZFMg,,,,,,,,,,,,,spotify,
GNRØ,8e55dc9d-a9dd-4904-8100-2d2ad5d704af,1Ei64CHjdZvM2eooFO4GZo,,,,,,,,,,,,,spotify,
Swingfly,11e81bca-7c7e-e91e-b893-a0369fe50396,0HKAsgq0Bsl4O9VyWo3g9E,,,,,,,,,,,,,spotify,
plutonia,9efdc52e-cd36-4305-821d-4d73dbc6e08b,17EqVy5EtAHerTWHJ9Pwiv,,,,,,,,,,,,,spotify,
JJ Molyneux,c2072723-5f67-400f-90fd-f2f716e6579b,4wsSkp0tiXdGx06KlsBzUn,,,,,,,,,,,,,spotify,
DTKØ,6892535e-af09-42e0-882c-764cf25885e6,6yIkBAXqYDawpLhpn6HBvm,,,,,,,,,,,,,spotify,
Umnose,3eff77f6-1d7b-4054-b0c7-39a18dad5b6e,41D377mcZL16DlTDtcP9jA,,,,,,,,,,,,,spotify,
Mert Hakan,11e81bbe-89ab-a494-8dca-a0369fe50396,0SrNAaJaF8RVQMYbJnwqBJ,,,,,,,,,,,,,spotify,
Jaykill,3134e62c-3e66-4196-be2f-816790ec86f3,0dGPMxHTZHlIWhNqfrWs9e,,,,,,,,,,,,,spotify,
Mike Van Hees,7ee18c3e-9619-4014-8bf6-80abcb6d95da,4yIMgsIb4R98ruPvo5pIZc,,,,,,,,,,,,,spotify,
Franco K,956e75de-804b-11e9-bb39-e4434b2a4898,3adeZOhl7gKTLX9j8iarPg,,,,,,,,,,,,,spotify,
Kryss Orue,63a04062-c26b-11e8-b8ff-525400009efb,1HVIYTj6PWpm8uQa4088Oe,,,,,,,,,,,,,spotify,
Ninjaneers,11e83fe1-6011-480e-b833-aa1c026db3d8,1NcntxsDrvr9p5PyqP5LwW,,,,,,,,,,,,,spotify,
SNYL,5e47e534-4f06-11e9-bd42-549f35141000,3HgxWk2K2rP0tL9RHYl7EY,,,,,,,,,,,,,spotify,
Matthew Pauls,abd496be-138b-4fff-ae7b-1d2e3ce5902c,2UXd2Czk4bTucsSGtb6YHC,,,,,,,,,,,,,spotify,
Monroe & Moralezz,11e83feb-c149-fa44-ab6b-a0369fe50396,1ouwxwmJmSWTB3jK8T2BKK,,,,,,,,,,,,,spotify,
Dhairya Mehrotra,aa964106-7a26-497a-908c-c0b97e8f7471,5Vgp1MHPoAEvloThD1kkdO,,,,,,,,,,,,,spotify,
The Floating Whale,659f4a72-3b8a-463d-bdd3-a8b4c0a45e24,7egG6Bs3yvF8st1lQ1Aa0h,,,,,,,,,,,,,spotify,
Gesmis,6be53948-5546-11ea-9698-549f35141000,09BQkr06MjFC0nQEd1nG4W,,,,,,,,,,,,,spotify,
ary:eh,b6e60af7-617d-4c30-b647-6b38703056e6,1g9QJsKgMuZnw8Ef3Vr7WD,,,,,,,,,,,,,spotify,
Kayz Adams,484c1ad4-2b1d-4dce-a778-7a5c2d9ee189,0pBrDWUga9dT5mpn0SPXwE,,,,,,,,,,,,,spotify,
Miyolophone,06000488-df26-11e8-a923-549f35141000,5HgfhmWqCwbRBZ5sGXb3go,,,,,,,,,,,,,spotify,
Nick Proof,cac11421-239a-4ac3-84dd-97980fae4b96,1cFOVkSIXej2ndDMhKholO,,,,,,,,,,,,,spotify,
Juan Valencia,e4021c54-c30a-11e8-bf2e-525400009efb,5Afyw95iiiAg0cpCU0EwoJ,,,,,,,,,,,,,spotify,
J.V. Sudhanshu,f798a167-e43c-4be3-a7e4-287dc8199875,1c8TcsYzbZiEJ0TcEP3NWq,,,,,,,,,,,,,spotify,
Robert Soko,11e81bcd-8502-760c-8a02-a0369fe50396,3RL8hvAH6zOxIKkDy4X653,,,,,,,,,,,,,spotify,
Arude,11e83fea-42f9-9b64-9d83-aa1c026db3d8,3jvLVdebZznGhPcOcOFKd9,,,,,,,,,,,,,spotify,
Klartraum,11e81bc9-12dc-d8dc-83c4-a0369fe50396,1euztWfCX0SHe8U5XZT6dF,,,,,,,,,,,,,spotify,
INTERCOM,11e81bc2-fe65-c734-b202-a0369fe50396,5d19WNPP8p3K4vI78C9Tn0,,,,,,,,,,,,,spotify,
The Great Medicine Show,cfa2c2bc-67db-489e-ba09-26f52138184a,1WJF0hb9fzUpj7JrfobXQb,,,,,,,,,,,,,spotify,
Beach Villa,1595252b-ca3a-453b-a775-edc134c2ee6e,6419utRWf7KXDJun7kpFmo,,,,,,,,,,,,,spotify,
Alton Miller,11e81bd2-ab64-0e96-b839-a0369fe50396,0MGh53azHRLHTJ1flx9KGs,,,,,,,,,,,,,spotify,
PolyphonicBranch,11e81bcc-bc97-3310-a006-a0369fe50396,2wlgxcLUDaeSoqEcdYtmLN,,,,,,,,,,,,,spotify,
obey,6a79c9ea-6b4e-43c9-b06b-50645a1e6202,6PEX7kgtJDZksOAbb4OF2L,,,,,,,,,,,,,spotify,
Kaliber,11e81bd3-5507-0dae-830c-a0369fe50396,3ekTzK1O35FbjpUrWQX5Iw,,,,,,,,,,,,,spotify,
Shobi,dc262786-c257-11e8-9c13-525400009efb,1U0EFT6jsUpEXAaWesmxAz,,,,,,,,,,,,,spotify,
Tenkitsune,11e81bc2-af42-477c-a06f-a0369fe50396,3npM0ZkW5qRUL5Y7ihHRrU,,,,,,,,,,,,,spotify,
MARCKENZO,723e20bd-155e-4533-9cb6-f1345ed54855,7zNN9Mt9pcGSiPFJ4Houqu,,,,,,,,,,,,,spotify,
Entspannungsmusik zum Einschlafen,572181d3-f39e-427b-9425-7c178172a909,5OpKmLExfPIrPyXJEGuWym,,,,,,,,,,,,,spotify,
Viv Castle,b2f73775-1302-4f3c-bed7-fda74938f8ac,36dY5pyTYB2hHWaY74Jiaa,,,,,,,,,,,,,spotify,
dwsdmusic,782d362e-f99e-11e8-93c4-549f35161576,2LcmL7CeH69d7BXst3M2GB,,,,,,,,,,,,,spotify,
Wrld2Luis,56d98cf0-aff5-46d2-a99f-0ca9ebfb5b19,5tI0a8NZdzkJChNGjWipzT,,,,,,,,,,,,,spotify,
Zelly ocho,5fe366ee-6b8e-11e9-99fd-801844edfa71,3svb0AOLHdFPE6P8PRB2ML,,,,,,,,,,,,,spotify,
DJ FUNKOT,a1d11c40-468f-11ea-86b7-549f35161576,2onGuFQXcAwZrFtemfXApD,,,,,,,,,,,,,spotify,
DJ KAIO DA GM,776bd266-640c-4f52-b6d8-fa929196b150,6I99ehrDadMxFcJQIne5jW,,,,,,,,,,,,,spotify,
Nico Besso,f30937e9-c4a3-4989-b60b-c22086a7866d,7DgJhLJPueRl1erDbNvjl8,,,,,,,,,,,,,spotify,
Horsh kee,0491d73c-5b78-4afe-acc2-94ff4e3e2cbe,15DVzrdEsyQaTOqtIIi3Wz,,,,,,,,,,,,,spotify,
Das Beat,5e5818ae-7a4a-4ab9-93b9-658d000e3b69,3puZhPkw2oN6DfEt3kNXs7,,,,,,,,,,,,,spotify,
Outside The Sky,d2b09414-68bc-11e9-a66e-549f35161576,6okFCDgsEWB0ifms7O439e,,,,,,,,,,,,,spotify,
The Untouchables,11e81bbb-fa47-a2f0-bfe3-a0369fe50396,4PeH0LM0QG4jFfzSmU0SuB,,,,,,,,,,,,,spotify,
Cloud7,7b1bc6ce-028c-11e9-a1d6-549f35161576,1v58vTDfehAnHXZ3pvvkbs,,,,,,,,,,,,,spotify,
Akimoto,82f06714-c480-11e8-9945-525400009efb,7BSLtSaG4mMG4sB74Zxnq4,,,,,,,,,,,,,spotify,
The Rudenko Project,11e83fe5-d049-c034-9937-a0369fe50396,2PH2jj3KBfm4GnZGNk8yeI,,,,,,,,,,,,,spotify,
Days of Jupiter,11e81bcd-3fae-5530-96e0-a0369fe50396,6tS7AajwAlXIU2OKwaXCaM,,,,,,,,,,,,,spotify,
Ferus Melek,11e81bcc-9673-7388-85be-a0369fe50396,0lixXBzjyw24C4yrzzccGj,,,,,,,,,,,,,spotify,
DEDLINE,24b79b3b-5786-4271-8e54-b05775909163,75nE6Q3wOe3nB5aUrrzwvw,,,,,,,,,,,,,spotify,
The Wake,11e81bc6-6ea4-bfb6-84f4-a0369fe50396,39aYm70XPfUpkMIKSfeeig,,,,,,,,,,,,,spotify,
Stuff,11e81bba-8219-0d60-9b3a-a0369fe50396,6PJ1lXTD3zLPgo7i8NPaw9,,,,,,,,,,,,,spotify,
Colour Castle,11e81bd3-3321-0550-837d-a0369fe50396,5PyXw8u0sJbvxMriq8qKBS,,,,,,,,,,,,,spotify,
Hannah Schaefer,11e83fec-e962-d75c-8557-aa1c026db3d8,2WsOOOpIzs8GLKjH05jG6s,,,,,,,,,,,,,spotify,
Wanderson Ferreira Correa,b4447f7d-67df-4eb8-953c-406fad68a52f,36b5uuazBCTTYK5lQ3pL33,,,,,,,,,,,,,spotify,
DJ Ghasuray,54528847-2433-48da-8555-1e524ba951b0,365P0mrMcqFBkOCeutU6wl,,,,,,,,,,,,,spotify,
Bad Smith,371b8d07-d056-4311-84cd-5cb5b742e795,5ENi6vIaG2GiuMP9ykUcMw,,,,,,,,,,,,,spotify,
Plastic Plates,11e81bc2-4a71-3678-9f4f-a0369fe50396,7LOHocDfDRSAznhI11LhJ5,,,,,,,,,,,,,spotify,
Mani Cheema,41e85539-4817-4f58-ba12-91d2987c04b8,4y5Pn2IPrpbKXBFHFwEo0I,,,,,,,,,,,,,spotify,
Hill,6bcf5d8c-d809-11e8-85e7-549f35161576,2S9W9aSAd7e5mp8WqWxN2h,,,,,,,,,,,,,spotify,
Kevin Hugo,9a29a320-7612-4a19-af8b-06fa066f7ad4,2SO2VM4ZUWgT6cl4aDgpYq,,,,,,,,,,,,,spotify,
Seelenkodex,ca88e6a3-acf2-40b7-b7af-81104066b559,6rEJiPWiybopZkkbg6roBG,,,,,,,,,,,,,spotify,
Noite & Dia,11e83fe4-24c2-11d6-9185-aa1c026db3d8,310x2pKIxabeKkMosSOGJf,,,,,,,,,,,,,spotify,
Andrzej Koziński,c2405ed6-6dfb-11e9-9915-549f35161576,1eUTDbigXShrqvd1Y1j3GY,,,,,,,,,,,,,spotify,
Diana Leah,a736e4f0-c1b9-11e8-a4f8-525400009efb,0ed6NZkFBGctZeii1tYFdp,,,,,,,,,,,,,spotify,
Juan Laya,11e81bbf-50c3-ea5a-9367-a0369fe50396,31adPVgHKIKQObfZaJKOYq,,,,,,,,,,,,,spotify,
Desyfer,11e81bcd-456a-a582-852a-a0369fe50396,6xO40UcRajsShGmroXC6qi,,,,,,,,,,,,,spotify,
sejmi,d0f8959f-35df-41d3-86c2-67a6ba9e137d,0MBm27PsVHNxCbk5azdmZo,,,,,,,,,,,,,spotify,
Continental GT,c8412f10-3212-4176-beb9-974dcb00395c,4OtyRyWoXCsEPO6wlKmxGy,,,,,,,,,,,,,spotify,
Bazz Boyz,11e81bbd-b633-5a12-a204-a0369fe50396,0BlMBzPnYOyei32Cdu7Xay,,,,,,,,,,,,,spotify,
Fionn Curran,c3b1165a-42f7-4993-bfe4-c4585cee8c37,6lFzVstgQhoAAfdCwVDaaZ,,,,,,,,,,,,,spotify,
Lucid But Dreaming,05c2afdc-47f0-11ea-8db4-e4434b2a4898,3SMMjPn8zc0fDowggFHV4N,,,,,,,,,,,,,spotify,
