artist_name,soundcharts_uuid,spotify_id,instagram_url,instagram_handle,tiktok_url,tiktok_handle,youtube_url,youtube_channel_id,soundcloud_url,soundcloud_handle,twitter_url,twitter_handle,facebook_url,website_url,lookup_status,error_message
Jeff Germita,75b75492-de82-11e8-8c95-549f35161576,2XIvRnp1lZPCejrJFmMTBo,,,,,,,https://soundcloud.com/jxffgxrmta,jxffgxrmta,,,,,"spotify,soundcloud",
Drunken Masters,11e83fe0-baa4-f898-8faa-a0369fe50396,0cUMeX7DFLIvLy0q8uqp6q,,,,,,,https://soundcloud.com/drunkenmasters,drunkenmasters,,,,,"spotify,soundcloud",
itssvd,ce161a7e-c1c2-11e8-8a52-525400009efb,5yaF4LUw7ON1RmE4O8Q03C,,,,,,,https://soundcloud.com/itssvd,itssvd,,,,,"spotify,soundcloud",
Caiiro,11e83fe7-2a8c-ae02-9d21-aa1c026db3d8,0fs9otT9TtwXUOcFXZomZY,,,,,,,https://soundcloud.com/caiiro,caiiro,,,,,"spotify,soundcloud",
Veronica Bravo,11e83fe7-9341-db02-acb0-a0369fe50396,3xIHOffeC188QWHIiCaLXr,,,,,,,https://soundcloud.com/veronicabravo,veronicabravo,,,,,"spotify,soundcloud",
Kx5,7c3ba89a-f821-4fa1-8e3a-427058f25751,2avRYQUWQpIkzJOEkf0MdY,,,,,,,https://soundcloud.com/kx5official,kx5official,,,,,"spotify,soundcloud",
T.O.K,11e81bbd-5da6-b5ce-87c5-a0369fe50396,06JH3wcXkJg7eoxZVMO1UX,,,,,,,https://soundcloud.com/tok-official,tok-official,,,,,"spotify,soundcloud",
Adnan Gufrona,2570c311-fc2c-488d-a1f7-90128e162276,0cn9EERuDfOgYEiaJONNqZ,,,,,,,https://soundcloud.com/adnan-gufrona-215451541,adnan-gufrona-215451541,,,,,"spotify,soundcloud",
HMWME,728f3e74-1927-47e2-81d5-87a1493cc675,6iUsKG741oVA0KXtElIpOo,,,,,,,https://soundcloud.com/hmwme,hmwme,,,,,"spotify,soundcloud",
The Midnight,11e81bbc-2a0e-a876-9f5b-a0369fe50396,2NFrAuh8RQdQoS7iYFbckw,,,,,,,https://soundcloud.com/themidnightofficial,themidnightofficial,,,,,"spotify,soundcloud",
RYUCHI,9f2b2433-18bb-41cd-9484-bec599144f90,1hRr8Cy8VOjr7qdw1Z52OU,,,,,,,https://soundcloud.com/ryuchionni,ryuchionni,,,,,"spotify,soundcloud",
Angerfist,11e81bbd-e704-ac40-83b8-a0369fe50396,4sQNUQjOYj9rV2sdfJ8laS,,,,,,,https://soundcloud.com/angerfistmusic,angerfistmusic,,,,,"spotify,soundcloud",
Luna Orbit,acefb648-3149-48c0-b043-e87c3d35a708,78VO39HCLuuqEBGzPO6xts,,,,,,,https://soundcloud.com/lunaorbit,lunaorbit,,,,,"spotify,soundcloud",
Pollini,b49915df-e63f-4bb9-a1ef-d59a63a48a0a,3OPLg8q2j65jBPJp98um5n,,,,,,,https://soundcloud.com/djpollini,djpollini,,,,,"spotify,soundcloud",
Paul Keen,a3975be8-5590-11e9-a74b-801844edfa71,1JtDBPBRCql5r8bejWwJGj,,,,,,,https://soundcloud.com/paul-keen-official,paul-keen-official,,,,,"spotify,soundcloud",
Lumidee,11e81bd1-2607-84d6-b391-a0369fe50396,1IO0GVa1xjkFMXsg66FiE9,,,,,,,https://soundcloud.com/djlumidee,djlumidee,,,,,"spotify,soundcloud",
Christian Löffler,11e83fe9-a6ef-0ede-ab44-aa1c026db3d8,3tSvlEzeDnVbQJBTkIA6nO,,,,,,,,,,,,,spotify,
Akhmedov,df8fb9d9-f3a4-442a-b4a6-c17f3c24bab8,1YPbLR5feecKwPHhujIvGQ,,,,,,,https://soundcloud.com/akhmedov34765,akhmedov34765,,,,,"spotify,soundcloud",
xaviersobased,907e5fc2-fbdc-4cc4-a397-841e1e6406a4,2oM7LMPFu882oC6jSwEqjd,,,,,,,https://soundcloud.com/xaviersobased,xaviersobased,,,,,"spotify,soundcloud",
Karun,d0a3960c-4a4f-4b1b-93a2-1f477ecae852,6DARBhWbfcS9E4yJzcliqQ,,,,,,,https://soundcloud.com/karunmusic,karunmusic,,,,,"spotify,soundcloud",
Deichkind,11e81bd1-49c5-b29e-8940-a0369fe50396,49eo9xE4yGzJLWkOndiODs,,,,,,,https://soundcloud.com/deichkind-1,deichkind-1,,,,,"spotify,soundcloud",
DARKANASE,c9053f00-5e53-4aa6-b16b-bed7e9a89a34,3FUCRB0hJhe9BrXW1yonDh,,,,,,,https://soundcloud.com/darkanase-scmusic,darkanase-scmusic,,,,,"spotify,soundcloud",
2Scratch,57189040-b7ff-11e8-85e2-525400009efb,02qHcQfJCm2XlAnaJ5a6Rh,,,,,,,https://soundcloud.com/2scratch,2scratch,,,,,"spotify,soundcloud",
Francisca Valenzuela,11e81bc3-decb-4218-b3ef-a0369fe50396,2piHiUbXwUNNIvYyIOIUKt,,,,,,,https://soundcloud.com/franciscavalenzuelamusic,franciscavalenzuelamusic,,,,,"spotify,soundcloud",
Defected Radio,11e83fe7-a976-455c-8a45-aa1c026db3d8,25XngRrWAsddVHfhxUXIE5,,,,,,,https://soundcloud.com/defectedradio,defectedradio,,,,,"spotify,soundcloud",
Morris,11e81bbb-1d1f-acc4-8267-a0369fe50396,3iTsJGG39nMg9YiolUgLMQ,,,,,,,https://soundcloud.com/phillybaby,phillybaby,,,,,"spotify,soundcloud",
Anna-Maria Zimmermann,11e8a9fb-b8fe-d998-a58f-525400009efb,0sAQ6ln7fHovbG6Tk2Phrf,,,,,,,https://soundcloud.com/anna-maria-zimmermann-official,anna-maria-zimmermann-official,,,,,"spotify,soundcloud",
Glwzbll,7d4d3942-509c-11e9-8c52-549f35141000,4xNuIo74R6m1eXaz7RlpZ6,,,,,,,https://soundcloud.com/glwzbll-music,glwzbll-music,,,,,"spotify,soundcloud",
Silva Hound,11e81bd0-b1e7-822c-9c1c-a0369fe50396,6ty1HyJReuPdMWdoZAIB4I,,,,,,,https://soundcloud.com/silvahound,silvahound,,,,,"spotify,soundcloud",
Mr JazziQ,39725208-542d-11ea-a097-801844edfa71,1nVEvn7RMNxj27rn0WE13E,,,,,,,https://soundcloud.com/mrjazziq-music,mrjazziq-music,,,,,"spotify,soundcloud",
Melanie C,11e81bcc-6dda-9c9e-a464-a0369fe50396,60vX3zLcdKRXvKLITVh5Df,,,,,,,https://soundcloud.com/melaniecmusic,melaniecmusic,,,,,"spotify,soundcloud",
DJ Isaac,11e81bbe-0815-ed86-9195-a0369fe50396,2FmgW6Jee0JQKtb6EnBWCq,,,,,,,https://soundcloud.com/djisaac,djisaac,,,,,"spotify,soundcloud",
Larinhx,674289d0-326a-11ea-bb34-549f35161576,00kQ5yo7yxd5KC1ihuH77i,,,,,,,https://soundcloud.com/larinhx,larinhx,,,,,"spotify,soundcloud",
Gillirium,dc740026-b8ee-4cdc-a5b0-ca6f7e119a0f,4dfUUvHsq6FLLkA0Qy7wqu,,,,,,,https://soundcloud.com/gillirium,gillirium,,,,,"spotify,soundcloud",
Janesh,34304868-04f8-4031-bd36-836e52d440d8,1oK1EnI3oWOsRKlV4e6L5L,,,,,,,https://soundcloud.com/janesh-music,janesh-music,,,,,"spotify,soundcloud",
The Breeders,11e81bc0-505e-8ba0-8297-a0369fe50396,1xgFexIwrf2QjbU0buCNnp,,,,,,,https://soundcloud.com/thebreeders,thebreeders,,,,,"spotify,soundcloud",
Sam Wills,11e81bbe-6296-c10e-92b9-a0369fe50396,7JFinw4LobpCUjapyKvsjo,,,,,,,https://soundcloud.com/samwillsmusic,samwillsmusic,,,,,"spotify,soundcloud",
Karlo,2d76c5fa-b19c-4fac-8e37-2b39f442e50e,4XAeQuunl5LfJ0T0oldlnL,,,,,,,https://soundcloud.com/superkarl0,superkarl0,,,,,"spotify,soundcloud",
The S.O.S Band,11e81bca-ac3d-4592-90e5-a0369fe50396,6pXCjxMOBcWtvULYkFPVW6,,,,,,,https://soundcloud.com/the-sos-band,the-sos-band,,,,,"spotify,soundcloud",
Blümchen,11e81bd1-c3c0-ef8c-bd70-a0369fe50396,1Wch8598BBzU0zVBtcCFJh,,,,,,,,,,,,,spotify,
Baxter Dury,11e81bca-cd72-24bc-ac7a-a0369fe50396,0EgHhNmWcjusA7F2heSD0O,,,,,,,https://soundcloud.com/baxter-dury,baxter-dury,,,,,"spotify,soundcloud",
Nic Fanciulli,11e81bbc-4df0-4074-b67f-a0369fe50396,7btR5VXutQv39SDEzcfXEk,,,,,,,https://soundcloud.com/nicfanciulli,nicfanciulli,,,,,"spotify,soundcloud",
Tiga,11e81bbc-8bf5-6458-896f-a0369fe50396,5l9wiTZVfqQTfMDOt0HtwC,,,,,,,https://soundcloud.com/tiga,tiga,,,,,"spotify,soundcloud",
Suyash,547b1a40-2962-4a37-a28e-09212a50a503,397qVkvMksq20YImjWX9BR,,,,,,,https://soundcloud.com/user-842954077,user-842954077,,,,,"spotify,soundcloud",
Thelma Houston,11e81bbe-ab75-8932-8fca-a0369fe50396,3sgUnR8TF35euWEV07RPyO,,,,,,,https://soundcloud.com/thelmahouston,thelmahouston,,,,,"spotify,soundcloud",
Deep Horizon Waves,11e83fea-6d82-8792-a76f-a0369fe50396,5aw5WfeOV5ThlwFcfaK9JO,,,,,,,https://soundcloud.com/deephorizonwaves53045,deephorizonwaves53045,,,,,"spotify,soundcloud",
Łobuzy,2328d632-c5b5-11e8-935c-549f35141000,2fmK2j1yvoiRTsIgYxZSeP,,,,,,,,,,,,,spotify,
