artist_name,soundcharts_uuid,spotify_id,instagram_url,instagram_handle,tiktok_url,tiktok_handle,youtube_url,youtube_channel_id,soundcloud_url,soundcloud_handle,twitter_url,twitter_handle,facebook_url,website_url,lookup_status,error_message
Halacg,46924ff0-b8d0-11e8-9382-525400009efb,0Tbadays3Z2K3BxmvjL34J,https://www.instagram.com/halacg_official/,halacg_official,,,,,https://soundcloud.com/halacg-music,halacg-music,https://twitter.com/Hala_CG,Hala_CG,,,"spotify,soundcloud+musicbrainz",
Haviah Mighty,63ae57a8-c183-11e8-aaf5-525400009efb,3UROQ34SGxV7h71Z3Gqp8u,,,,,,,https://soundcloud.com/haviahmighty,haviahmighty,https://twitter.com/haviahmighty,haviahmighty,,,"spotify,soundcloud+musicbrainz",
DENȲ,b39c6101-7ccc-4704-a031-a869e53648b0,6fxyWrfmjcbj5d12gXeiNV,,,,,,,,,,,,http://www.denharrow.it/,spotify+musicbrainz,
Noga Erez,11e81bca-f1a3-0176-9947-a0369fe50396,5VwCIS8jdx9ZHjApLFNrTZ,https://www.instagram.com/nogaerez/,nogaerez,https://www.tiktok.com/@nogaerez,nogaerez,,,https://soundcloud.com/nogaerez,nogaerez,https://twitter.com/nogaerez,nogaerez,https://www.facebook.com/NogaErezMusic,https://nogaerez.com/,"spotify,soundcloud+musicbrainz",
Awich,11e81bc8-cce5-e40e-ad29-a0369fe50396,0FnDCrmcQT8qz5TEsZIYw5,https://www.instagram.com/awich098/,awich098,,,,,https://soundcloud.com/awich098,awich098,https://twitter.com/awich098,awich098,https://www.facebook.com/awich098,http://awich.jp/,"spotify,soundcloud+musicbrainz",
Mila J,11e81bbb-0d99-efa8-bfdc-a0369fe50396,6cN9XwPMj9bWzJ32GC6V7v,https://www.instagram.com/milaj/,milaj,,,,,https://soundcloud.com/milajofficial,milajofficial,https://twitter.com/MilaJ,MilaJ,https://www.facebook.com/MilaJ,,"spotify,soundcloud+musicbrainz",
Yade Lauren,11e81bc3-09b1-118e-9cb8-a0369fe50396,2YkP9pfIZ6hJKeuppuz8qT,,,,,,,https://soundcloud.com/yadelauren,yadelauren,,,,,"spotify,soundcloud",
Samantha Machado,4ca551c6-b8df-11e8-a2a2-525400009efb,5qQdzyIlYfzICKOVdb7XvY,https://www.instagram.com/samanthamachado/,samanthamachado,,,,,https://soundcloud.com/ssamanthamachado,ssamanthamachado,,,https://www.facebook.com/ssamanthamachado,,"spotify,soundcloud+musicbrainz",
Domiziana,00121693-e5bb-4fab-b6b3-f6031cae4176,3XZewrXpRQqqCMuUMAIhvN,https://www.instagram.com/iam.domiziana/,iam.domiziana,https://www.tiktok.com/@iam.domiziana,iam.domiziana,,,https://soundcloud.com/domiziana-music,domiziana-music,,,,,"spotify,soundcloud+musicbrainz",
Chilla,11e81bc2-3542-fd22-86b4-a0369fe50396,1ywkNtrO3WGuwaehqxyjAO,,,,,,,https://soundcloud.com/chillamusic,chillamusic,,,,,"spotify,soundcloud",
Kat Dahlia,11e81bc9-2f8b-db5e-96dd-a0369fe50396,1peH5tSqnYm8W6Bo3I5egE,,,,,,,https://soundcloud.com/katdahlia,katdahlia,https://twitter.com/KatDahlia,KatDahlia,https://www.facebook.com/KatDahliaMusic,http://katdahlia.com/,"spotify,soundcloud+musicbrainz",
Mallrat,11e81bc3-0e91-2b26-8d93-a0369fe50396,4OSArit7O2Jaj4mgf3YN7A,https://www.instagram.com/lilmallrat/,lilmallrat,,,,,https://soundcloud.com/lilmallrat,lilmallrat,https://twitter.com/lilmallrat,lilmallrat,https://www.facebook.com/lilmallrat,https://lilmallrat.com/,"spotify,soundcloud+musicbrainz",
kouth,bcad8796-5595-11ea-a1c9-549f35161576,2KMezb1S2TuirqGVavMXqY,https://www.instagram.com/prodkouth/,prodkouth,,,,,https://soundcloud.com/deborakouth,deborakouth,https://twitter.com/prodkouth,prodkouth,,,"spotify,soundcloud+musicbrainz",
Illest Morena,d448433b-bf2b-414b-ad27-46e9de72eec1,2zRoFfKfqM5jaUysSG9EUI,,,,,,,https://soundcloud.com/illestmorena,illestmorena,,,,,"spotify,soundcloud",
RIELL,7db752c8-c5fa-11e8-b412-549f35141000,0xD6n0wj7aqV5g5LcRNBUd,,,,,,,https://soundcloud.com/iamriell,iamriell,,,,,"spotify,soundcloud",
CÉLINE,6ceff982-4eb5-11ea-80ce-e4434b2a4898,3CtqQGt0S8sDVhei9MutSq,,,,,,,,,,,,,spotify,
Shanice,11e81bbe-aef3-6b06-89af-a0369fe50396,0Ttph0pOZiPNTD3y2wUUb6,,,,,,,https://soundcloud.com/shanice-official,shanice-official,,,,http://www.shaniceonline.com/,"spotify,soundcloud+musicbrainz",
Foxy Brown,11e81bbf-0bb2-114e-8b44-a0369fe50396,1wvlC6NwleHt1iRD6d5X2C,,,,,,,https://soundcloud.com/foxy-brown-official,foxy-brown-official,https://twitter.com/FoxyDonDiva,FoxyDonDiva,,,"spotify,soundcloud+musicbrainz",
badmómzjay,1f247646-165d-11ea-9670-801844ee83a6,7oWrEQO1d3klp0Qrfh7a5h,,,,,,,,,,,,,spotify,
Brodie,11e81bc1-7761-5b28-b29a-a0369fe50396,7HvAimFUDbhD9XRv1dbJ9t,,,,,,,https://soundcloud.com/brodie-dnb,brodie-dnb,,,,,"spotify,soundcloud",
Tabitha,11e81bcb-3fd8-d596-bbc2-a0369fe50396,7iBY1RLWDV5zX9NDNQxurm,https://www.instagram.com/tabithamusik/,tabithamusik,https://www.tiktok.com/@tabithamusik,tabithamusik,,,https://soundcloud.com/goopgoopgoop,goopgoopgoop,,,https://www.facebook.com/Tabithamusik,,"spotify,soundcloud+musicbrainz",
Emilíana Torrini,11e81bc1-2db4-cfdc-9da3-a0369fe50396,08j69Ndyx1P7RLO3Janb5P,,,,,,,,,,,,,spotify,
Carolesdaughter,bc6fe122-88e0-4570-9f7b-55787fb6df31,2hiq2iBnUik3mrOfEgRSpB,https://www.instagram.com/carolesdaught3r/,carolesdaught3r,,,,,https://soundcloud.com/carolesdaughter,carolesdaughter,,,https://www.facebook.com/carolesdaught3r,https://www.carolesdaughter.net/,"spotify,soundcloud+musicbrainz",
Zoë Tauran,6329a18f-e823-4745-93fc-853ca4ce9136,5fg02ZNJViLdPyxJnRdcsi,,,,,,,,,,,,,spotify,
Martina Topley-Bird,20b4e8ea-b8e1-11e8-8715-525400009efb,6sKLLGj7SqbP2qDBdEOoZ6,,,,,,,https://soundcloud.com/martina-topley-bird,martina-topley-bird,,,,,"spotify,soundcloud",
Sandra Echeverria,11e81bd1-722f-5898-997b-a0369fe50396,0LfJXLNpLGZtn4OAki9W31,,,,,,,https://soundcloud.com/bonbon4eto0,bonbon4eto0,,,,,"spotify,soundcloud",
Absolutely,11e81bcc-7cae-3d8e-93b7-a0369fe50396,4ellgkPyhbJetngXmHX5Zh,,,,,,,https://soundcloud.com/absolutely-music,absolutely-music,,,,,"spotify,soundcloud",
Laila!,9788600d-a403-49e6-b5d9-35b5af74a1fd,7tHTnyrdTNM152slc8aQ3t,,,,,,,https://soundcloud.com/laila,laila,,,,,"spotify,soundcloud",
