Artist,Artist country,Artist genres,Artist sub genres,Artist uuid,Artist url,Career stage,Growth level,Gender,Type,Birth date,First release,Latest release,Total ISRC,Latest concert,Total concerts (last 3y),Upcoming concert,Soundcharts score Total,Soundcharts score Change, Soundcharts score Change %,Spotify followers Total,Spotify followers Change,Spotify followers Change %,Spotify monthly listeners Total,Spotify monthly listeners Change,Spotify monthly listeners Change %,Spotify popularity Total,Spotify popularity Change,Spotify popularity Change %,Tidal popularity Total,Tidal popularity Change,Tidal popularity Change %,YouTube subscribers Total,YouTube subscribers Change,YouTube subscribers Change %,YouTube daily views Total,YouTube daily views Change,YouTube daily views Change %,Youtube channel views Total,Youtube channel views Change,Youtube channel views Change %,Youtube posts,Youtube posts Change,Youtube posts Change %,Instagram followers Total,Instagram followers Change,Instagram followers Change %,Instagram posts Total,Instagram posts Change,Instagram posts Change %,Instagram following Total,Instagram following Change,Instagram following Change %,TikTok followers Total,TikTok followers Change,TikTok followers Change %,Tiktok likes Total,Tiktok likes Change,Tiktok likes Change %,Tiktok following Total,Tiktok following Change,Tiktok following Change %,Airplay plays Total,Airplay plays Change,Airplay plays Change %,Pandora monthly listeners Total,Pandora monthly listeners Change,Pandora monthly listeners Change %,Deezer fans Total,Deezer fans Change,Deezer fans Change %,Deezer popularity Total,Deezer popularity Change,Deezer popularity Change %,Amazon followers Total,Amazon followers Change,Amazon followers Change %,Facebook likes Total,Facebook likes Change,Facebook likes Change %,X followers Total,X followers Change,X followers Change %,X likes Total,X likes Change,X likes Change %,X posts Total,X posts Change,X posts Change %,X following Total,X following Change,X following Change %,Soundcloud followers Total,Soundcloud followers Change,Soundcloud followers Change %,Soundcloud posts Total,Soundcloud posts Change,Soundcloud posts Change %,Soundcloud following Total,Soundcloud following Change,Soundcloud following Change %,Songkick Fans Total,Songkick Fans Change,Songkick Fans Change %,Bandsintown followers Total,Bandsintown followers Change,Bandsintown followers Change %,Genius followers Total,Genius followers Change,Genius followers Change %,Netease followers Total,Netease followers Change,Netease followers Change %,Kkbox followers Total,Kkbox followers Change,Kkbox followers Change %,Weibo followers Total,Weibo followers Change,Weibo followers Change %,Weibo likes Total,Weibo likes Change,Weibo likes Change %,Weibo posts Total,Weibo posts Change,Weibo posts Change %,Weibo following Total,Weibo following Change,Weibo following Change %,Anghami followers Total,Anghami followers Change,Anghami followers Change %,Anghami plays Total,Anghami plays Change,Anghami plays Change %,Boomplay favorites Total,Boomplay favorites Change,Boomplay favorites Change %,Audiomack followers Total,Audiomack followers Change,Audiomack followers Change %,Audiomack plays Total,Audiomack plays Change,Audiomack plays Change %,Gaana favorites Total,Gaana favorites Change,Gaana favorites Change %,Jiosaavn followers Total,Jiosaavn followers Change,Jiosaavn followers Change %,Jiosaavn listeners Total,Jiosaavn listeners Change,Jiosaavn listeners Change %,Line music followers Total,Line music followers Change,Line music followers Change %,Melon Likes Total,Melon Likes Change,Melon Likes Change %,QQ Music Fans Total,QQ Music Fans Change,QQ Music Fans Change %,Yandex followers Total,Yandex followers Change,Yandex followers Change %,Yandex monthly listeners Total,Yandex monthly listeners Change,Yandex monthly listeners Change %,Vk fans Total,Vk fans Change,Vk fans Change %,Mixcloud followers Total,Mixcloud followers Change,Mixcloud followers Change %,Mixcloud following Total,Mixcloud following Change,Mixcloud following Change %,Twitch followers Total,Twitch followers Change,Twitch followers Change %,Last.fm listeners Total,Last.fm listeners Change,Last.fm listeners Change %,Patreon followers Total,Patreon followers Change,Patreon followers Change %,Patreon posts Total,Patreon posts Change,Patreon posts Change %,Unnamed: 188,Artist_Type,spotify_id,instagram_url,instagram_handle,tiktok_url,tiktok_handle,youtube_url,youtube_channel_id,soundcloud_url,soundcloud_handle,twitter_url,twitter_handle,facebook_url,website_url,lookup_status
Halacg,United Kingdom,"Pop, Hip Hop","Pop, anime rap, pop, mainstream pop",46924ff0-b8d0-11e8-9382-525400009efb,https://app.soundcharts.com/app/artist/halacg/overview,long_tail,moderate_growth,female,person,,10/20/17,1/2/26,353,1/12/26,0,1/12/26,44558,-1442,-3.13,78244.0,2526.0,3.34,997366,605102,154.26,59,4,7.27,17.0,0.0,0.0,217000.0,1000.0,0.46,,,,108020612.0,1077361.0,1.01,172.0,0.0,0.0,,,,,,,,,,15600.0,1600.0,11.43,546200.0,2000.0,0.37,47.0,1.0,2.17,,,,0.0,0.0,0.0,2437.0,105.0,4.5,42.0,0.0,0.0,1273.0,28.0,2.25,,,,22099.0,146.0,0.67,111823.0,3.0,0.0,28887.0,11.0,0.04,817.0,0.0,0.0,3603.0,14.0,0.39,62.0,0.0,0.0,3.0,0.0,0.0,,,,,,,60.0,0.0,0.0,1145.0,88.0,8.33,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,402.0,11.0,2.81,110.0,5.0,4.76,2551.0,0.0,0.0,,,,,,,,,,6402.0,-6.0,-0.09,,,,328.0,15.0,4.79,385.0,0.0,0.0,,Rapper,0Tbadays3Z2K3BxmvjL34J,https://www.instagram.com/halacg_official/,halacg_official,https://www.tiktok.com/@halacg_official,halacg_official,https://www.youtube.com/@halacg_official,,https://soundcloud.com/halacg-music,halacg-music,https://twitter.com/Hala_CG,Hala_CG,,,"spotify,soundcloud+musicbrainz"
Karun,India,"Hip Hop, Pop, Electro","desi hip hop, indian indie, Hip-Hop/Rap, indian lo-fi, hip hop, trap",d0a3960c-4a4f-4b1b-93a2-1f477ecae852,https://app.soundcharts.com/app/artist/karun-3/overview,long_tail,average_growth,male,person,,5/15/19,6/16/25,129,1/12/26,0,1/12/26,31171,-829,-2.59,128416.0,2714.0,2.16,991103,103816,11.7,51,2,4.08,0.0,0.0,0.0,115000.0,0.0,0.0,,,,71420558.0,1544569.0,2.21,29.0,0.0,0.0,35640.0,672.0,1.92,55.0,9.0,19.57,1430.0,2.0,0.14,22800.0,0.0,0.0,414000.0,0.0,0.0,122.0,0.0,0.0,4.0,0.0,0.0,7.0,-4.0,-36.36,8.0,1.0,14.29,12.0,-3.0,-20.0,428.0,21.0,5.16,,,,,,,,,,,,,,,,3074.0,10.0,0.33,54.0,0.0,0.0,54.0,0.0,0.0,,,,,,,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424.0,228.0,19.06,612.0,7.0,1.16,49481.0,4776.0,10.68,,,,,,,1.0,0.0,100.0,20.0,0.0,0.0,1863.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,Rapper,6DARBhWbfcS9E4yJzcliqQ,https://www.instagram.com/karun.i.verse/,karun.i.verse,https://www.tiktok.com/@karun.i.verse,karun.i.verse,https://www.youtube.com/@karun.i.verse,,https://soundcloud.com/karunmusic,karunmusic,https://twitter.com/karunmusic,karunmusic,,https://www.karunmusic.com/,"spotify,soundcloud+musicbrainz"
Haviah Mighty,Canada,Hip Hop,"canadian trap, toronto rap, Hip-Hop/Rap, contemporary hip hop, hip hop",63ae57a8-c183-11e8-aaf5-525400009efb,https://app.soundcharts.com/app/artist/haviah-mighty-1/overview,long_tail,average_growth,female,person,12/17/92,1/1/09,12/5/25,132,6/29/24,27,1/12/26,3832,-24168,-86.31,23100.0,283.0,1.24,984976,-204684,-17.21,51,0,0.0,0.0,0.0,0.0,11300.0,100.0,0.89,30259.0,2618.0,9.47,4939965.0,50283.0,1.03,220.0,4.0,1.85,48469.0,32.0,0.07,258.0,20.0,8.4,4227.0,30.0,0.71,40000.0,100.0,0.25,366100.0,11100.0,3.13,342.0,5.0,1.48,1904.0,325.0,20.58,30.0,9.0,42.86,1022.0,18.0,1.79,35.0,0.0,0.0,312.0,6.0,1.96,7963.0,-17.0,-0.21,5007.0,-9.0,-0.18,9820.0,7.0,0.07,18187.0,35.0,0.19,687.0,0.0,0.0,1570.0,1.0,0.06,146.0,0.0,0.0,73.0,1.0,1.39,2860.0,9.0,0.32,3382.0,31.0,0.93,9.0,0.0,0.0,,,,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,411.0,0.0,0.0,179692.0,220.0,0.12,,,,,,,,,,,,,12.0,0.0,0.0,187.0,5.0,2.75,28.0,0.0,0.0,309.0,61.0,24.6,,,,,,,,,,,,,,,,,,,,,,,Rapper,3UROQ34SGxV7h71Z3Gqp8u,https://www.instagram.com/haviahmighty/,haviahmighty,https://www.tiktok.com/@haviahmighty,haviahmighty,https://www.youtube.com/@haviahmighty,,https://soundcloud.com/haviahmighty,haviahmighty,https://twitter.com/haviahmighty,haviahmighty,,,"spotify,soundcloud+musicbrainz"
DENȲ,Philippines,"R&B, Hip Hop","R&B/Soul, tagalog rap",b39c6101-7ccc-4704-a031-a869e53648b0,https://app.soundcharts.com/app/artist/deny-1/overview,long_tail,average_growth,female,person,,3/13/20,8/13/25,19,1/12/26,0,1/12/26,43723,723,1.68,119188.0,1095.0,0.93,984601,-20317,-2.02,51,0,0.0,28.0,0.0,0.0,47900.0,200.0,0.42,,,,30112883.0,633925.0,2.15,20.0,0.0,0.0,19808.0,0.0,0.0,138.0,1.0,0.73,833.0,5.0,0.6,,,,,,,,,,18.0,-2.0,-10.0,,,,,,,,,,32.0,1.0,3.23,27854.0,-89.0,-0.32,3160.0,-10.0,-0.32,15142.0,219.0,1.47,7311.0,-1.0,-0.01,234.0,0.0,0.0,331.0,0.0,0.0,3.0,0.0,0.0,18.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rapper,6fxyWrfmjcbj5d12gXeiNV,https://www.instagram.com/denȲ/,denȲ,https://www.tiktok.com/@denȲ,denȲ,https://www.youtube.com/@denȲ,,,,https://twitter.com/denȲ,denȲ,,http://www.denharrow.it/,spotify+musicbrainz
Noga Erez,Israel,"Electro, Hip Hop, Pop","Electronic, israeli hip hop, israeli indie, indie pop, pop, contemporary hip hop, mainstream pop",11e81bca-f1a3-0176-9947-a0369fe50396,https://app.soundcharts.com/app/artist/noga-erez/overview,mainstream,moderate_growth,female,person,12/26/89,7/24/14,12/18/25,152,12/14/25,56,4/10/26,58795,1795,3.15,472285.0,32007.0,7.27,972250,19894,2.09,58,0,0.0,61.0,0.0,0.0,255000.0,12000.0,4.94,102006.0,-14857.0,-12.71,79972895.0,2457069.0,3.17,325.0,7.0,2.2,1445517.0,139405.0,10.67,249.0,16.0,6.87,1718.0,15.0,0.88,487600.0,20100.0,4.3,4900000.0,200000.0,4.26,1657.0,70.0,4.41,9351.0,-98.0,-1.04,11596.0,740.0,6.82,31492.0,2005.0,6.8,59.0,-3.0,-4.84,9117.0,600.0,7.04,518134.0,224766.0,76.62,6626.0,31.0,0.47,3001.0,-5.0,-0.17,1040.0,1.0,0.1,410.0,-4.0,-0.97,,,,,,,,,,65740.0,1203.0,1.86,55879.0,2035.0,3.78,35.0,0.0,0.0,,,,110.0,7.0,6.8,,,,,,,,,,,,,,,,10128.0,0.0,0.0,,,,494.0,78.0,18.75,34956.0,3714.0,11.89,,,,,,,,,,84.0,8.0,10.53,222.0,7.0,3.26,14949.0,139.0,0.94,10113.0,1362.0,15.56,46997.0,18869.0,67.08,,,,,,,,,,,,,150361.0,2859.0,1.94,,,,,,,,Rapper,5VwCIS8jdx9ZHjApLFNrTZ,https://www.instagram.com/nogaerez/,nogaerez,https://www.tiktok.com/@nogaerez,nogaerez,https://www.youtube.com/@nogaerez,,https://soundcloud.com/nogaerez,nogaerez,https://twitter.com/nogaerez,nogaerez,https://www.facebook.com/NogaErezMusic,https://nogaerez.com/,"spotify,soundcloud+musicbrainz"
Awich,Japan,"Hip Hop, R&B","Hip-Hop/Rap, japanese r&b, j-rap, contemporary hip hop, hip hop, trap",11e81bc8-cce5-e40e-ad29-a0369fe50396,https://app.soundcharts.com/app/artist/awich/overview,mainstream,average_growth,female,person,4/25/86,12/6/06,11/28/25,225,9/14/25,4,1/12/26,58609,-1391,-2.32,361095.0,3517.0,0.98,972031,-399479,-29.13,59,-1,-1.67,53.0,0.0,0.0,625000.0,2000.0,0.32,148077.0,25580.0,20.88,303977812.0,3049276.0,1.01,239.0,3.0,1.27,725272.0,1155.0,0.16,640.0,8.0,1.27,1818.0,14.0,0.78,356200.0,600.0,0.17,6600000.0,0.0,0.0,109.0,1.0,0.93,807.0,107.0,15.29,1.0,0.0,100.0,2667.0,116.0,4.55,41.0,-3.0,-6.82,71464.0,1147.0,1.63,47445.0,398.0,0.85,167473.0,1537.0,0.93,10764.0,1.0,0.01,6294.0,14.0,0.22,198.0,2.0,1.02,6648.0,24.0,0.36,76.0,0.0,0.0,,,,8960.0,191.0,2.18,9570.0,282.0,3.04,18.0,0.0,0.0,,,,622.0,5.0,0.81,,,,,,,,,,,,,104.0,0.0,0.0,24000.0,0.0,0.0,,,,134.0,6.0,4.69,8769.0,239.0,2.8,,,,,,,,,,112125.0,883.0,0.79,230.0,3.0,1.32,,,,532.0,10.0,1.92,8500.0,0.0,0.0,,,,,,,,,,,,,76173.0,2338.0,3.17,,,,,,,,Rapper,0FnDCrmcQT8qz5TEsZIYw5,https://www.instagram.com/awich098/,awich098,https://www.tiktok.com/@awich098,awich098,https://www.youtube.com/@awich098,,https://soundcloud.com/awich098,awich098,https://twitter.com/awich098,awich098,https://www.facebook.com/awich098,http://awich.jp/,"spotify,soundcloud+musicbrainz"
Mila J,United States,"R&B, Hip Hop, Pop, Electro","r&b, pop rap, urban contemporary, alternative r&b, hip pop, trap queen, R&B/Soul, pop r&b, contemporary hip hop, contemporary r&b, hip hop",11e81bbb-0d99-efa8-bfdc-a0369fe50396,https://app.soundcharts.com/app/artist/mila-j/overview,mainstream,average_growth,female,person,11/18/83,11/4/03,2/12/24,280,10/30/19,0,1/12/26,60680,680,1.13,845096.0,1600.0,0.19,965014,-1313,-0.14,54,0,0.0,73.0,0.0,0.0,442000.0,0.0,0.0,37200.0,2347.0,6.73,162525826.0,1612318.0,1.0,45.0,0.0,0.0,1021359.0,-2236.0,-0.22,1046.0,0.0,0.0,494.0,-4.0,-0.8,304.0,-1.0,-0.33,166.0,0.0,0.0,,,,449.0,-50.0,-10.02,242613.0,7443.0,3.16,8693.0,90.0,1.05,33.0,-4.0,-10.81,7530.0,54.0,0.72,195544.0,-440.0,-0.22,155611.0,-72.0,-0.05,3597.0,-3.0,-0.08,10292.0,-1.0,-0.01,936.0,-2.0,-0.21,54252.0,22.0,0.04,68.0,0.0,0.0,,,,88631.0,96.0,0.11,70873.0,312.0,0.44,61.0,0.0,0.0,,,,95.0,0.0,0.0,,,,,,,,,,,,,1069.0,0.0,0.0,306953.0,0.0,0.0,10.0,0.0,0.0,1368.0,10.0,0.74,22733.0,149.0,0.66,,,,1854.0,32.0,1.76,0.0,0.0,0.0,232.0,1.0,0.43,843.0,-1.0,-0.12,2998.0,6.0,0.2,6698.0,11.0,0.16,29914.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,Rapper,6cN9XwPMj9bWzJ32GC6V7v,https://www.instagram.com/milaj/,milaj,https://www.tiktok.com/@milaj,milaj,https://www.youtube.com/@milaj,,https://soundcloud.com/milajofficial,milajofficial,https://twitter.com/MilaJ,MilaJ,https://www.facebook.com/MilaJ,,"spotify,soundcloud+musicbrainz"
Yade Lauren,Netherlands,"Hip Hop, Pop","Hip-Hop/Rap, dutch pop, dutch hip hop, dutch rap pop",11e81bc3-09b1-118e-9cb8-a0369fe50396,https://app.soundcharts.com/app/artist/yade-lauren/overview,mid_level,average_growth,female,person,4/8/99,1/1/16,7/17/25,69,7/20/24,2,1/12/26,50491,491,0.98,152915.0,891.0,0.59,958305,26525,2.85,60,0,0.0,41.0,0.0,0.0,40200.0,0.0,0.0,41225.0,754.0,1.86,14344479.0,49270.0,0.34,8.0,0.0,0.0,192821.0,-314.0,-0.16,30.0,18.0,150.0,54.0,-1.0,-1.82,103300.0,1400.0,1.37,1000000.0,12200.0,1.24,1676.0,30.0,1.82,2015.0,-195.0,-8.82,,,,13653.0,48.0,0.35,39.0,-3.0,-7.14,95.0,5.0,5.56,7631.0,-14.0,-0.18,,,,,,,,,,,,,514.0,3.0,0.59,17.0,0.0,0.0,,,,32422.0,92.0,0.28,8628.0,90.0,1.05,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,108.0,0.0,0.0,30860.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,0.0,596.0,-1.0,-0.17,481.0,3.0,0.63,206.0,0.0,0.0,,,,,,,,,,,,,32453.0,531.0,1.66,,,,,,,,Rapper,2YkP9pfIZ6hJKeuppuz8qT,https://www.instagram.com/yadelauren/,yadelauren,https://www.tiktok.com/@yadelauren,yadelauren,https://www.youtube.com/@yadelauren,,https://soundcloud.com/yadelauren,yadelauren,https://twitter.com/yadelauren,yadelauren,,,"spotify,soundcloud"
Samantha Machado,Brazil,"Pop, Hip Hop, Electro, Latin","Pop, Hip-Hop/Rap, brazilian edm, trap brasileiro, latin, pop, trap, mainstream pop",4ca551c6-b8df-11e8-a2a2-525400009efb,https://app.soundcharts.com/app/artist/samantha-machado/overview,long_tail,average_growth,female,person,,6/6/18,11/28/25,198,1/12/26,0,1/12/26,46938,938,2.04,68083.0,1163.0,1.74,949451,66405,7.52,53,0,0.0,35.0,0.0,0.0,283000.0,0.0,0.0,,,,76309630.0,768208.0,1.02,142.0,0.0,0.0,291798.0,3663.0,1.27,251.0,7.0,2.87,3467.0,36.0,1.05,116500.0,700.0,0.6,794600.0,4900.0,0.62,220.0,-2.0,-0.9,12.0,1.0,9.09,,,,26124.0,44.0,0.17,50.0,0.0,0.0,821.0,13.0,1.61,4787.0,-8.0,-0.17,3902.0,-6.0,-0.15,44802.0,-83.0,-0.18,5469.0,-9.0,-0.16,709.0,-5.0,-0.7,6000.0,49.0,0.82,14.0,0.0,0.0,7.0,0.0,0.0,4577.0,17.0,0.37,,,,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,0.0,0.0,212.0,1.0,0.47,,,,,,,,,,,,,,,,69.0,0.0,0.0,14.0,0.0,0.0,99.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,Rapper,5qQdzyIlYfzICKOVdb7XvY,https://www.instagram.com/samanthamachado/,samanthamachado,https://www.tiktok.com/@samanthamachado,samanthamachado,https://www.youtube.com/@samanthamachado,,https://soundcloud.com/ssamanthamachado,ssamanthamachado,https://twitter.com/samanthamachado,samanthamachado,https://www.facebook.com/ssamanthamachado,,"spotify,soundcloud+musicbrainz"
Domiziana,Germany,Hip Hop,Hip-Hop/Rap,00121693-e5bb-4fab-b6b3-f6031cae4176,https://app.soundcharts.com/app/artist/domiziana-1/overview,long_tail,average_growth,female,person,4/9/97,10/29/21,11/14/25,43,9/5/25,24,1/12/26,46828,-172,-0.37,54270.0,501.0,0.93,947293,-212334,-18.31,54,-2,-3.57,43.0,0.0,0.0,38800.0,100.0,0.26,13658.0,-1910.0,-12.27,28297696.0,287048.0,1.02,45.0,0.0,0.0,47518.0,-322.0,-0.67,174.0,0.0,0.0,1875.0,2.0,0.11,102300.0,200.0,0.2,5400000.0,0.0,0.0,1612.0,14.0,0.88,2189.0,85.0,4.04,0.0,0.0,0.0,3405.0,86.0,2.59,44.0,-9.0,-16.98,4070.0,145.0,3.69,160.0,0.0,0.0,10.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,100.0,10.0,0.0,0.0,243.0,1.0,0.41,17.0,0.0,0.0,,,,11544.0,22.0,0.19,3034.0,54.0,1.81,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,37.0,1.0,2.78,,,,,,,,,,,,,,,,,,,60035.0,197.0,0.33,,,,,,,,Rapper,3XZewrXpRQqqCMuUMAIhvN,https://www.instagram.com/iam.domiziana/,iam.domiziana,https://www.tiktok.com/@iam.domiziana,iam.domiziana,https://www.youtube.com/@iam.domiziana,,https://soundcloud.com/domiziana-music,domiziana-music,https://twitter.com/domiziana,domiziana,,,"spotify,soundcloud+musicbrainz"
