artist_name,soundcharts_uuid
charlie moncler,c61aa81a-1dc6-11ea-bdb0-801844edfa71
SFB,0a95b592-b8de-11e8-a932-525400009efb
Skilla Baby,63ecf140-ff89-11e8-8521-549f35161576
ARDN,02a444e6-89ff-11e9-b417-801844edfa71
FourNine,85834686-f288-11e9-b71d-801844edfa71
Mike Dimes,2df55944-e4fc-11e8-abd3-549f35141000
Wean,6bb565c2-2736-11e9-a643-00163ec5a2fb
Drunken Masters,11e83fe0-baa4-f898-8faa-a0369fe50396
Big Baby Tape,e26eeaac-c63e-11e8-aa24-549f35161576
Marwan Pablo,2fd103b2-7e4e-11e9-815f-00163ec5a2fb
itssvd,ce161a7e-c1c2-11e8-8a52-525400009efb
Khoi Vu,9cb11892-606a-11ea-942e-801844ee83a6
Halacg,46924ff0-b8d0-11e8-9382-525400009efb
Charlie Charles,11e81bc8-533f-6ed6-ad9c-a0369fe50396
Kris Floyd,c5c5d462-ea4a-11e8-95c9-549f35141000
nobigdyl.,11e81bcc-c665-0ffc-883f-a0369fe50396
RYUCHI,9f2b2433-18bb-41cd-9484-bec599144f90
Never Broke Again,bd1829c5-ee8d-4ce0-b5e4-175db5a1b389
Pejota,7ced8c90-432c-11e9-8d33-549f35141000
Sagitario,11e81bd0-5b6b-c30e-97f8-a0369fe50396
MC Magic,11e81bc2-0d44-6504-b99a-a0369fe50396
Akhmedov,df8fb9d9-f3a4-442a-b4a6-c17f3c24bab8
xaviersobased,907e5fc2-fbdc-4cc4-a397-841e1e6406a4
Under Side 821,11e83fe5-bf13-de76-977d-aa1c026db3d8
Karun,d0a3960c-4a4f-4b1b-93a2-1f477ecae852
yovngmanota,d5a6a49b-98b1-4b4e-99ef-8e0ddc22e385
Deichkind,11e81bd1-49c5-b29e-8940-a0369fe50396
DJ SV,d37b22a3-7183-4cb4-824b-3c3ee3dcfc23
2Scratch,57189040-b7ff-11e8-85e2-525400009efb
Morris,11e81bbb-1d1f-acc4-8267-a0369fe50396
Terror Reid,11e83feb-3cb6-d6b2-8691-aa1c026db3d8
Jonatas Nascimento,f2332e40-291b-4468-b249-697fc175edf6
B.I,11e83fe0-6bb2-3c00-85ec-aa1c026db3d8
Timaya,11e81bc1-eba2-7166-9321-a0369fe50396
EME Lab,c1dcfe43-eefd-4e1a-90dc-8f863a47f753
DeeBaby,cd1f259a-5027-40b9-afb3-9b5092c9b98a
J-Ax,11e81bc9-62d1-b0ba-acf7-a0369fe50396
Haviah Mighty,63ae57a8-c183-11e8-aaf5-525400009efb
Dj Alle da coro,37230134-611b-441f-9086-3ea876661e5b
Junggigo,1517e6fa-b8e0-11e8-95b0-525400009efb
DENȲ,b39c6101-7ccc-4704-a031-a869e53648b0
Farazi,11e81bc8-3ce9-1d44-a5d1-a0369fe50396
Harry Fraud,11e81bbc-98b7-e6de-ab83-a0369fe50396
Burhan G,11e81bc3-96c5-ac60-8e3f-a0369fe50396
Suprême NTM,11e81bd3-07bf-0628-b267-a0369fe50396
Cristian D,f5b20ee0-b9b3-4e8e-8944-12aa37862b97
Calin,11e83fe0-6777-222c-8fe2-aa1c026db3d8
Josh A,11e81bba-9053-2cda-ad45-a0369fe50396
Trannos,b8cd9799-8f81-4304-bfa3-0187160018fc
Jay Jones,11e83fe2-34db-fd40-8350-aa1c026db3d8
DON XHONI,b3386d2a-1de8-4d1c-baf9-135522aadc8f
Tjuvjakt,11e81bc7-375f-f7f4-9346-a0369fe50396
Kazior,af32472a-c42b-11e8-86a0-525400009efb
Guaco,11e81bc9-1f47-0d7c-a1f7-a0369fe50396
Stereo Mc's,0cbcb1fe-b8cf-11e8-a67c-525400009efb
Sada Baby,11e81bbf-b1a0-19ca-9615-a0369fe50396
Galee Galee,9aa216e3-eebc-4fda-80a1-9b86976e311c
Shop Boyz,11e81bc1-8c35-56d0-8b35-a0369fe50396
9th Wonder,11e81bbf-ca43-9c68-8a29-a0369fe50396
Matt Corman,11e83fea-f827-d398-a675-aa1c026db3d8
THEY.,11e81bd1-233a-a152-abfd-a0369fe50396
DonGURALesko,11e81bc2-8102-622a-b24d-a0369fe50396
Shartnuss,95c473a8-6dac-413f-b8dc-39b605e45f64
Goson,7949b405-4531-40b0-bf1f-3bf7f7899287
Fxrce,4993d39e-71b2-11ea-b7fe-549f35141000
Manj Musik,11e81bd1-7fa6-ae86-ae7e-a0369fe50396
DJ JL3 DA ZN,31e14119-a1ca-4b55-873b-e15b492e2f93
Dyland & Lenny,11e81bc9-639e-ca6e-90e4-a0369fe50396
Gow Tribe,bf94aa02-002d-11e9-b9bc-549f35161576
Noga Erez,11e81bca-f1a3-0176-9947-a0369fe50396
Awich,11e81bc8-cce5-e40e-ad29-a0369fe50396
M.O.P.,11e81bc9-08b5-a4ce-9572-a0369fe50396
Dontcry,11e83fef-0a49-9f9e-8ac4-aa1c026db3d8
DJ CD 011,e9da072c-b495-4678-9347-aebf2b234eb5
