Playlist,Country,Genres,Uuid,Url,28-day adds percent,Owner Name,Playlist type,Track Count,Track age,Last updated date
Mannheim Steamroller Christmas Essentials,Montenegro,"Rock, Jazz, Holiday, Classical, Pop, Hip Hop",02d00e22-b1ca-4f38-a63a-ec76485ec2a3,https://app.soundcharts.com/app/playlist/02d00e22-b1ca-4f38-a63a-ec76485ec2a3/tracks,100%,Holiday,Curators & Listeners,16,catalog,2026-01-14T03:10:02+00:00
Mannheim Steamroller Christmas Essentials,Morocco,"Rock, Jazz, Holiday, Hip Hop, Classical, Pop",78ec1fc3-ee58-4c6d-9dab-27d5549f9e8c,https://app.soundcharts.com/app/playlist/78ec1fc3-ee58-4c6d-9dab-27d5549f9e8c/tracks,100%,Holiday,Curators & Listeners,18,catalog,2026-01-14T03:10:02+00:00
Mannheim Steamroller Christmas Essentials,Iraq,"Rock, Jazz, Holiday, Hip Hop, Classical, Pop",58696acf-213a-4c56-b86e-3cf8739825ff,https://app.soundcharts.com/app/playlist/58696acf-213a-4c56-b86e-3cf8739825ff/tracks,100%,Holiday,Curators & Listeners,18,catalog,2026-01-14T03:10:02+00:00
Halloween Haunted House: Spooky Sounds & Scary Atmospheres,Antigua & Barbuda,"Holiday, Soundtrack, Rock",894058da-4b1b-444e-8835-d6e84e0bfebc,https://app.soundcharts.com/app/playlist/894058da-4b1b-444e-8835-d6e84e0bfebc/tracks,92.77%,DashGo,Curators & Listeners,83,catalog,2026-01-04T03:10:01+00:00
Winter Lofi 2026 / Fireside Chill / Cozy Relaxing Chillhop Beats,Vietnam,"Hip Hop, Holiday",56aa471a-ebce-4e91-a6dd-33d91aae03c3,https://app.soundcharts.com/app/playlist/56aa471a-ebce-4e91-a6dd-33d91aae03c3/tracks,82.33%,DashGo,Curators & Listeners,300,mixed,2026-01-31T03:10:01+00:00
Halloween Haunted House: Spooky Sounds & Scary Atmospheres,Thailand,"Holiday, Soundtrack, Rock",8af38f46-e2a8-4b8d-a1ca-c8fda1f72ebb,https://app.soundcharts.com/app/playlist/8af38f46-e2a8-4b8d-a1ca-c8fda1f72ebb/tracks,81.93%,DashGo,Curators & Listeners,83,catalog,2026-01-04T03:10:01+00:00
Halloween LoFi Beats - Spooky Halloween Playlist 2026,Senegal,"Holiday, Hip Hop",67323587-add6-42c1-b2f0-ba2571786bbf,https://app.soundcharts.com/app/playlist/67323587-add6-42c1-b2f0-ba2571786bbf/tracks,64.67%,DashGo,Curators & Listeners,300,frontline,2026-01-04T03:10:01+00:00
Christmas Lofi Playlist 2025 / Chill Holiday Beats / Chillhop & Lofi Christmas Favorites,St. Vincent & Grenadines,"Holiday, Hip Hop, Jazz",4bcd11da-4710-41f6-b215-e26aa4feebca,https://app.soundcharts.com/app/playlist/4bcd11da-4710-41f6-b215-e26aa4feebca/tracks,63%,DashGo,Curators & Listeners,300,mixed,2026-01-04T03:10:01+00:00
Halloween LoFi Beats - Spooky Halloween Playlist 2026,Nepal,"Holiday, Hip Hop",ed7b9d4f-8869-421f-afcc-88c4e69a704b,https://app.soundcharts.com/app/playlist/ed7b9d4f-8869-421f-afcc-88c4e69a704b/tracks,62.67%,DashGo,Curators & Listeners,300,frontline,2026-01-04T03:10:01+00:00
Halloween LoFi Beats - Spooky Halloween Playlist 2026,Macao SAR China,"Holiday, Hip Hop",fbaa5a91-b914-4571-849c-9ff675aa286e,https://app.soundcharts.com/app/playlist/fbaa5a91-b914-4571-849c-9ff675aa286e/tracks,62%,DashGo,Curators & Listeners,300,frontline,2026-01-04T03:10:01+00:00
Christmas Gets Weird,Cayman Islands,"Rock, Spoken, Hip Hop, Holiday, Alternative, Country",f4a7fc90-d498-49fd-8f39-64f96ebed565,https://app.soundcharts.com/app/playlist/f4a7fc90-d498-49fd-8f39-64f96ebed565/tracks,55.56%,Holiday,Curators & Listeners,18,catalog,2026-01-03T03:10:02+00:00
Christmas Indie Songs: Xmas Indie,Dominica,"Alternative, Rock, Folk, Holiday, Pop",f6878002-8b83-4158-bd7d-ab283301a331,https://app.soundcharts.com/app/playlist/f6878002-8b83-4158-bd7d-ab283301a331/tracks,52.88%,Indiemono,Curators & Listeners,104,catalog,2026-01-04T03:10:01+00:00
Lofi Jazz Christmas Playlist 2025🎄Winter Lo-Fi Beats,Mali,"Hip Hop, Holiday, Jazz",e29c1288-240d-4ca9-ad62-a9feb63df44f,https://app.soundcharts.com/app/playlist/e29c1288-240d-4ca9-ad62-a9feb63df44f/tracks,44.67%,DashGo,Curators & Listeners,197,mixed,2026-01-04T03:10:01+00:00
Christmas in the Country,Jamaica,"Country, Holiday",0f51100d-e348-407a-96bd-2c8cfbaa1e76,https://app.soundcharts.com/app/playlist/0f51100d-e348-407a-96bd-2c8cfbaa1e76/tracks,43.84%,Holiday,Curators & Listeners,73,catalog,2026-01-03T03:10:02+00:00
Christmas Lofi Playlist 2025 / Chill Holiday Beats / Chillhop & Lofi Christmas Favorites,China,"Holiday, Hip Hop, Jazz",7cd91f70-1395-4533-b5ec-638f957950cc,https://app.soundcharts.com/app/playlist/7cd91f70-1395-4533-b5ec-638f957950cc/tracks,37.61%,DashGo,Curators & Listeners,226,mixed,2026-01-29T03:10:02+00:00
Carols Covered 2021,Turks & Caicos Islands,"Pop, Holiday, Spirituals, Electro, Rock, R&B, Hip Hop, Classical",abce6210-c478-4d35-81c0-c01c2c265fee,https://app.soundcharts.com/app/playlist/abce6210-c478-4d35-81c0-c01c2c265fee/tracks,27.27%,Holiday,Curators & Listeners,22,catalog,2026-01-03T03:10:02+00:00
Christmas Cocktail Party,Kuwait,"Jazz, Soundtrack, Pop, Holiday, Classical, Blues",2329a543-4a1f-482a-81e2-6becde5bd9bf,https://app.soundcharts.com/app/playlist/2329a543-4a1f-482a-81e2-6becde5bd9bf/tracks,25.53%,Holiday,Curators & Listeners,47,catalog,2026-01-03T03:10:02+00:00
