owner_name,playlist_count,email_pattern_1,email_pattern_2,email_pattern_3,email_pattern_4,instagram_url,instagram_handle,tiktok_url,tiktok_handle,youtube_url,youtube_channel_id,soundcloud_url,soundcloud_handle,twitter_url,twitter_handle,facebook_url,website_url
Academy of Country Music,41,contact@academyofcountry.com,info@academyofcountry.com,hello@academyofcountry.com,support@academyofcountry.com,https://www.instagram.com/academyofcountry,academyofcountry,https://www.tiktok.com/@academyofcountry,academyofcountry,https://www.youtube.com/@academyofcountry,@academyofcountry,https://soundcloud.com/academyofcountry,academyofcountry,https://twitter.com/academyofcountry,academyofcountry,https://www.facebook.com/academyofcountry,https://academyofcountry.com
Alternative Press,218,contact@alternativepress.com,info@alternativepress.com,hello@alternativepress.com,support@alternativepress.com,https://www.instagram.com/alternativepress,alternativepress,https://www.tiktok.com/@alternativepress,alternativepress,https://www.youtube.com/@alternativepress,@alternativepress,https://soundcloud.com/alternativepress,alternativepress,https://twitter.com/alternativepress,alternativepress,https://www.facebook.com/alternativepress,https://alternativepress.com
Burberry,2,contact@burberry.com,info@burberry.com,hello@burberry.com,support@burberry.com,https://www.instagram.com/burberry,burberry,https://www.tiktok.com/@burberry,burberry,https://www.youtube.com/@burberry,@burberry,https://soundcloud.com/burberry,burberry,https://twitter.com/burberry,burberry,https://www.facebook.com/burberry,https://burberry.com
CMA,155,contact@cma.com,info@cma.com,hello@cma.com,support@cma.com,https://www.instagram.com/cma,cma,https://www.tiktok.com/@cma,cma,https://www.youtube.com/@cma,@cma,https://soundcloud.com/cma,cma,https://twitter.com/cma,cma,https://www.facebook.com/cma,https://cma.com
Cadence Music,1,contact@cadence.com,info@cadence.com,hello@cadence.com,support@cadence.com,https://www.instagram.com/cadence,cadence,https://www.tiktok.com/@cadence,cadence,https://www.youtube.com/@cadence,@cadence,https://soundcloud.com/cadence,cadence,https://twitter.com/cadence,cadence,https://www.facebook.com/cadence,https://cadence.com
Carnegie Hall,181,contact@carnegiehall.com,info@carnegiehall.com,hello@carnegiehall.com,support@carnegiehall.com,https://www.instagram.com/carnegiehall,carnegiehall,https://www.tiktok.com/@carnegiehall,carnegiehall,https://www.youtube.com/@carnegiehall,@carnegiehall,https://soundcloud.com/carnegiehall,carnegiehall,https://twitter.com/carnegiehall,carnegiehall,https://www.facebook.com/carnegiehall,https://carnegiehall.com
DashGo,937,contact@dashgo.com,info@dashgo.com,hello@dashgo.com,support@dashgo.com,https://www.instagram.com/dashgo,dashgo,https://www.tiktok.com/@dashgo,dashgo,https://www.youtube.com/@dashgo,@dashgo,https://soundcloud.com/dashgo,dashgo,https://twitter.com/dashgo,dashgo,https://www.facebook.com/dashgo,https://dashgo.com
Dodge,1,contact@dodge.com,info@dodge.com,hello@dodge.com,support@dodge.com,https://www.instagram.com/dodge,dodge,https://www.tiktok.com/@dodge,dodge,https://www.youtube.com/@dodge,@dodge,https://soundcloud.com/dodge,dodge,https://twitter.com/dodge,dodge,https://www.facebook.com/dodge,https://dodge.com
DownBeat Magazine,109,contact@downbeat.com,info@downbeat.com,hello@downbeat.com,support@downbeat.com,https://www.instagram.com/downbeat,downbeat,https://www.tiktok.com/@downbeat,downbeat,https://www.youtube.com/@downbeat,@downbeat,https://soundcloud.com/downbeat,downbeat,https://twitter.com/downbeat,downbeat,https://www.facebook.com/downbeat,https://downbeat.com
Essence,1,contact@essence.com,info@essence.com,hello@essence.com,support@essence.com,https://www.instagram.com/essence,essence,https://www.tiktok.com/@essence,essence,https://www.youtube.com/@essence,@essence,https://soundcloud.com/essence,essence,https://twitter.com/essence,essence,https://www.facebook.com/essence,https://essence.com
HAIM TIME,104,contact@haimtime.com,info@haimtime.com,hello@haimtime.com,support@haimtime.com,https://www.instagram.com/haimtime,haimtime,https://www.tiktok.com/@haimtime,haimtime,https://www.youtube.com/@haimtime,@haimtime,https://soundcloud.com/haimtime,haimtime,https://twitter.com/haimtime,haimtime,https://www.facebook.com/haimtime,https://haimtime.com
